date,currency,usd_per_unit
2026-01-27,CAD,0.74587979
2026-01-28,CAD,0.74545186
2026-01-29,CAD,0.74468064
2026-01-30,CAD,0.74269465
2026-01-31,CAD,0.74031982
2026-02-01,CAD,0.73868675
2026-02-02,CAD,0.73771288
2026-02-03,CAD,0.73620751
2026-02-04,CAD,0.73632973
2026-02-05,CAD,0.73586788
2026-02-06,CAD,0.73610285
2026-02-07,CAD,0.73690564
2026-02-08,CAD,0.73486289
2026-02-09,CAD,0.7346391
2026-02-10,CAD,0.73357573
2026-02-11,CAD,0.73198422
2026-02-12,CAD,0.73411424
2026-02-13,CAD,0.73306208
2026-02-14,CAD,0.73140597
2026-02-15,CAD,0.72822398
2026-02-16,CAD,0.72678021
2026-02-17,CAD,0.73049148
2026-02-18,CAD,0.73244694
2026-02-19,CAD,0.73289581
2026-02-20,CAD,0.73245352
2026-02-21,CAD,0.72949366
2026-02-22,CAD,0.72768389
2026-02-23,CAD,0.72741226
2026-02-24,CAD,0.72555505
2026-02-25,CAD,0.73061918
2026-02-26,CAD,0.73226984
2026-02-27,CAD,0.73455297
2026-02-28,CAD,0.73432256
2026-03-01,CAD,0.73503402
2026-03-02,CAD,0.73724649
2026-03-03,CAD,0.73944886
2026-03-04,CAD,0.7371186
2026-03-05,CAD,0.73762382
2026-03-06,CAD,0.73552446
2026-03-07,CAD,0.73473186
2026-03-08,CAD,0.735187
2026-03-09,CAD,0.73440818
2026-03-10,CAD,0.73763209
2026-03-11,CAD,0.73575278
2026-03-12,CAD,0.73480178
2026-03-13,CAD,0.73714168
2026-03-14,CAD,0.73441787
2026-03-15,CAD,0.73500332
2026-03-16,CAD,0.73579813
2026-03-17,CAD,0.73485173
2026-03-18,CAD,0.73726601
2026-03-19,CAD,0.73686501
2026-03-20,CAD,0.74060291
2026-03-21,CAD,0.74376484
2026-03-22,CAD,0.74461033
2026-03-23,CAD,0.74603163
2026-03-24,CAD,0.74527849
2026-03-25,CAD,0.746062
2026-03-26,CAD,0.74805291
2026-03-27,CAD,0.74617844
2026-03-28,CAD,0.74549584
2026-03-29,CAD,0.74713791
2026-03-30,CAD,0.74356552
2026-03-31,CAD,0.74250729
2026-04-01,CAD,0.7433892
2026-04-02,CAD,0.74171748
2026-04-03,CAD,0.74323413
2026-04-04,CAD,0.74338022
2026-04-05,CAD,0.74480147
2026-04-06,CAD,0.74360563
2026-04-07,CAD,0.74501954
2026-04-08,CAD,0.74280791
2026-04-09,CAD,0.74375523
2026-04-10,CAD,0.74137311
2026-04-11,CAD,0.74201934
2026-04-12,CAD,0.73883972
2026-04-13,CAD,0.7390775
2026-04-14,CAD,0.73912893
2026-04-15,CAD,0.74099239
2026-04-16,CAD,0.74293288
2026-04-17,CAD,0.74574635
2026-04-18,CAD,0.74345276
2026-04-19,CAD,0.74079306
2026-04-20,CAD,0.74196175
2026-04-21,CAD,0.74236885
2026-04-22,CAD,0.74122778
2026-04-23,CAD,0.74138206
2026-04-24,CAD,0.74177296
2026-04-25,CAD,0.74012047
2026-04-26,CAD,0.73417856
2026-04-27,CAD,0.73416746
2026-04-28,CAD,0.73146264
2026-04-29,CAD,0.73189187
2026-04-30,CAD,0.73175298
2026-05-01,CAD,0.73014002
2026-05-02,CAD,0.7328338
2026-05-03,CAD,0.73391748
2026-05-04,CAD,0.73700788
2026-05-05,CAD,0.73531385
2026-05-06,CAD,0.73412651
2026-05-07,CAD,0.73608847
2026-05-08,CAD,0.73993482
2026-05-09,CAD,0.74011182
2026-05-10,CAD,0.74265407
2026-05-11,CAD,0.74402766
2026-05-12,CAD,0.74468357
2026-05-13,CAD,0.74549286
2026-05-14,CAD,0.74537266
2026-05-15,CAD,0.74262229
2026-05-16,CAD,0.73945213
2026-05-17,CAD,0.73873336
2026-05-18,CAD,0.74045328
2026-05-19,CAD,0.74146377
2026-05-20,CAD,0.73913138
2026-05-21,CAD,0.74168209
2026-05-22,CAD,0.74396636
2026-05-23,CAD,0.74356732
2026-05-24,CAD,0.74141062
2026-05-25,CAD,0.74038664
2026-05-26,CAD,0.74050015
2026-05-27,CAD,0.74087543
2026-05-28,CAD,0.74376724
2026-05-29,CAD,0.74437113
2026-05-30,CAD,0.7451065
2026-05-31,CAD,0.74544076
2026-06-01,CAD,0.74548704
2026-06-02,CAD,0.74577049
2026-06-03,CAD,0.74335919
2026-06-04,CAD,0.74231736
2026-06-05,CAD,0.74170733
2026-06-06,CAD,0.73988162
2026-06-07,CAD,0.74318364
2026-06-08,CAD,0.7400667
2026-06-09,CAD,0.73940678
2026-06-10,CAD,0.7370872
2026-06-11,CAD,0.73675807
2026-06-12,CAD,0.73724769
2026-06-13,CAD,0.73611517
2026-06-14,CAD,0.73626967
2026-06-15,CAD,0.73732159
2026-06-16,CAD,0.73676182
2026-06-17,CAD,0.73985517
2026-06-18,CAD,0.74036696
2026-06-19,CAD,0.73683958
2026-06-20,CAD,0.7405334
2026-06-21,CAD,0.73872347
2026-06-22,CAD,0.73442314
2026-06-23,CAD,0.73686872
2026-06-24,CAD,0.73550406
2026-06-25,CAD,0.73382651
2026-06-26,CAD,0.73089475
2026-06-27,CAD,0.72855591
2026-06-28,CAD,0.72622984
2026-06-29,CAD,0.7285463
2026-06-30,CAD,0.72921308
2026-01-01,GBP,1.26903464
2026-01-02,GBP,1.27099305
2026-01-03,GBP,1.27338349
2026-01-04,GBP,1.27624195
2026-01-05,GBP,1.2765828
2026-01-06,GBP,1.27870252
2026-01-07,GBP,1.27852556
2026-01-08,GBP,1.27893492
2026-01-09,GBP,1.28459731
2026-01-10,GBP,1.28270516
2026-01-11,GBP,1.27740339
2026-01-12,GBP,1.27665885
2026-01-13,GBP,1.28090377
2026-01-14,GBP,1.28386198
2026-01-15,GBP,1.27930777
2026-01-16,GBP,1.28279702
2026-01-17,GBP,1.28012972
2026-01-18,GBP,1.27934036
2026-01-19,GBP,1.27903902
2026-01-20,GBP,1.27968954
2026-01-21,GBP,1.27986489
2026-01-22,GBP,1.27944294
2026-01-23,GBP,1.27813155
2026-01-24,GBP,1.27716576
2026-01-25,GBP,1.2782111
2026-01-26,GBP,1.27340651
2026-01-27,GBP,1.27884253
2026-01-28,GBP,1.27960382
2026-01-29,GBP,1.28317793
2026-01-30,GBP,1.2874951
2026-01-31,GBP,1.28491919
2026-02-01,GBP,1.28724107
2026-02-02,GBP,1.28568417
2026-02-03,GBP,1.29090667
2026-02-04,GBP,1.29043159
2026-02-05,GBP,1.30039531
2026-02-06,GBP,1.29722831
2026-02-07,GBP,1.29323695
2026-02-08,GBP,1.2877204
2026-02-09,GBP,1.28962824
2026-02-10,GBP,1.28995552
2026-02-11,GBP,1.2926233
2026-02-12,GBP,1.29545484
2026-02-13,GBP,1.29858507
2026-02-14,GBP,1.29527416
2026-02-15,GBP,1.29225321
2026-02-16,GBP,1.29015771
2026-02-17,GBP,1.29008448
2026-02-18,GBP,1.29125727
2026-02-19,GBP,1.29337797
2026-02-20,GBP,1.2951435
2026-02-21,GBP,1.29702634
2026-02-22,GBP,1.29892167
2026-02-23,GBP,1.29715666
2026-02-24,GBP,1.29460384
2026-02-25,GBP,1.29508748
2026-02-26,GBP,1.29396963
2026-02-27,GBP,1.29034584
2026-02-28,GBP,1.29489645
2026-03-01,GBP,1.28932489
2026-03-02,GBP,1.29375953
2026-03-03,GBP,1.29518919
2026-03-04,GBP,1.29849518
2026-03-05,GBP,1.29894938
2026-03-06,GBP,1.29820871
2026-03-07,GBP,1.29650718
2026-03-08,GBP,1.29396758
2026-03-09,GBP,1.29207008
2026-03-10,GBP,1.29465804
2026-03-11,GBP,1.30048639
2026-03-12,GBP,1.29683112
2026-03-13,GBP,1.29319736
2026-03-14,GBP,1.29582624
2026-03-15,GBP,1.29618172
2026-03-16,GBP,1.29722919
2026-03-17,GBP,1.29532116
2026-03-18,GBP,1.29605688
2026-03-19,GBP,1.29967828
2026-03-20,GBP,1.29516826
2026-03-21,GBP,1.29101949
2026-03-22,GBP,1.29221195
2026-03-23,GBP,1.29706364
2026-03-24,GBP,1.29513917
2026-03-25,GBP,1.29365812
2026-03-26,GBP,1.29368728
2026-03-27,GBP,1.29223232
2026-03-28,GBP,1.28678708
2026-03-29,GBP,1.28565255
2026-03-30,GBP,1.2921879
2026-03-31,GBP,1.29022276
2026-04-01,GBP,1.29676032
2026-04-02,GBP,1.30131129
2026-04-03,GBP,1.30724466
2026-04-04,GBP,1.30620362
2026-04-05,GBP,1.30706486
2026-04-06,GBP,1.30342568
2026-04-07,GBP,1.30536319
2026-04-08,GBP,1.3053639
2026-04-09,GBP,1.30387163
2026-04-10,GBP,1.30763079
2026-04-11,GBP,1.30784921
2026-04-12,GBP,1.30247619
2026-04-13,GBP,1.30363739
2026-04-14,GBP,1.30588776
2026-04-15,GBP,1.30479316
2026-04-16,GBP,1.31017149
2026-04-17,GBP,1.30807978
2026-04-18,GBP,1.30746424
2026-04-19,GBP,1.3048874
2026-04-20,GBP,1.30736967
2026-04-21,GBP,1.30541581
2026-04-22,GBP,1.30878066
2026-04-23,GBP,1.30778857
2026-04-24,GBP,1.31225935
2026-04-25,GBP,1.30672118
2026-04-26,GBP,1.30490216
2026-04-27,GBP,1.30624789
2026-04-28,GBP,1.31252855
2026-04-29,GBP,1.31180569
2026-04-30,GBP,1.31183397
2026-05-01,GBP,1.31262217
2026-05-02,GBP,1.31236853
2026-05-03,GBP,1.31409318
2026-05-04,GBP,1.31878279
2026-05-05,GBP,1.31665971
2026-05-06,GBP,1.31403826
2026-05-07,GBP,1.31691574
2026-05-08,GBP,1.31869036
2026-05-09,GBP,1.31933784
2026-05-10,GBP,1.32038308
2026-05-11,GBP,1.32291493
2026-05-12,GBP,1.32154451
2026-05-13,GBP,1.31980004
2026-05-14,GBP,1.31384572
2026-05-15,GBP,1.31396654
2026-05-16,GBP,1.3137365
2026-05-17,GBP,1.32323088
2026-05-18,GBP,1.32355804
2026-05-19,GBP,1.32828157
2026-05-20,GBP,1.33115268
2026-05-21,GBP,1.33006088
2026-05-22,GBP,1.33821802
2026-05-23,GBP,1.34228838
2026-05-24,GBP,1.34100263
2026-05-25,GBP,1.33740123
2026-05-26,GBP,1.33358838
2026-05-27,GBP,1.33476325
2026-05-28,GBP,1.32884421
2026-05-29,GBP,1.32794382
2026-05-30,GBP,1.33059209
2026-05-31,GBP,1.32885283
2026-06-01,GBP,1.32908071
2026-06-02,GBP,1.32931886
2026-06-03,GBP,1.32936408
2026-06-04,GBP,1.32828598
2026-06-05,GBP,1.33030891
2026-06-06,GBP,1.33134043
2026-06-07,GBP,1.32605579
2026-06-08,GBP,1.32865625
2026-06-09,GBP,1.33030904
2026-06-10,GBP,1.32727139
2026-06-11,GBP,1.32704212
2026-06-12,GBP,1.33046319
2026-06-13,GBP,1.33469771
2026-06-14,GBP,1.34309046
2026-06-15,GBP,1.34341197
2026-06-16,GBP,1.34174454
2026-06-17,GBP,1.34432152
2026-06-18,GBP,1.34699075
2026-06-19,GBP,1.34689142
2026-06-20,GBP,1.3458331
2026-06-21,GBP,1.3451419
2026-06-22,GBP,1.3434666
2026-06-23,GBP,1.34097991
2026-06-24,GBP,1.3367831
2026-06-25,GBP,1.33278757
2026-06-26,GBP,1.33781802
2026-06-27,GBP,1.34028269
2026-06-28,GBP,1.34215756
2026-06-29,GBP,1.34183395
2026-06-30,GBP,1.3434209
2026-01-01,EUR,1.08668048
2026-01-02,EUR,1.08836184
2026-01-03,EUR,1.08984977
2026-01-04,EUR,1.09086772
2026-01-05,EUR,1.08999474
2026-01-06,EUR,1.09553643
2026-01-07,EUR,1.09902497
2026-01-08,EUR,1.09938516
2026-01-09,EUR,1.10465526
2026-01-10,EUR,1.10778959
2026-01-11,EUR,1.10790988
2026-01-12,EUR,1.10536929
2026-01-13,EUR,1.10751847
2026-01-14,EUR,1.10801786
2026-01-15,EUR,1.10764018
2026-01-16,EUR,1.10891121
2026-01-17,EUR,1.10099068
2026-01-18,EUR,1.10540339
2026-01-19,EUR,1.10744924
2026-01-20,EUR,1.10987067
2026-01-21,EUR,1.10949401
2026-01-22,EUR,1.10745227
2026-01-23,EUR,1.10618594
2026-01-24,EUR,1.10594364
2026-01-25,EUR,1.10356161
2026-01-26,EUR,1.10085639
2026-01-27,EUR,1.09762119
2026-01-28,EUR,1.09735412
2026-01-29,EUR,1.09764419
2026-01-30,EUR,1.09925543
2026-01-31,EUR,1.10027433
2026-02-01,EUR,1.10333948
2026-02-02,EUR,1.10707375
2026-02-03,EUR,1.10976073
2026-02-04,EUR,1.11028539
2026-02-05,EUR,1.11522833
2026-02-06,EUR,1.11899921
2026-02-07,EUR,1.11864004
2026-02-08,EUR,1.11714165
2026-02-09,EUR,1.12014133
2026-02-10,EUR,1.12433831
2026-02-11,EUR,1.12449694
2026-02-12,EUR,1.12565255
2026-02-13,EUR,1.12327006
2026-02-14,EUR,1.12439159
2026-02-15,EUR,1.12760214
2026-02-16,EUR,1.13322129
2026-02-17,EUR,1.13288108
2026-02-18,EUR,1.1360495
2026-02-19,EUR,1.13245838
2026-02-20,EUR,1.13156155
2026-02-21,EUR,1.12912898
2026-02-22,EUR,1.12824851
2026-02-23,EUR,1.12672669
2026-02-24,EUR,1.12395159
2026-02-25,EUR,1.1259146
2026-02-26,EUR,1.12960638
2026-02-27,EUR,1.13207582
2026-02-28,EUR,1.13291633
2026-03-01,EUR,1.13187841
2026-03-02,EUR,1.12868302
2026-03-03,EUR,1.12879034
2026-03-04,EUR,1.12466804
2026-03-05,EUR,1.1193372
2026-03-06,EUR,1.12267552
2026-03-07,EUR,1.11680832
2026-03-08,EUR,1.11794144
2026-03-09,EUR,1.12027698
2026-03-10,EUR,1.1240203
2026-03-11,EUR,1.11853046
2026-03-12,EUR,1.11773692
2026-03-13,EUR,1.118627
2026-03-14,EUR,1.11722091
2026-03-15,EUR,1.11738683
2026-03-16,EUR,1.11495926
2026-03-17,EUR,1.11711266
2026-03-18,EUR,1.11858632
2026-03-19,EUR,1.11871999
2026-03-20,EUR,1.11713007
2026-03-21,EUR,1.11684275
2026-03-22,EUR,1.11679907
2026-03-23,EUR,1.11428415
2026-03-24,EUR,1.1121296
2026-03-25,EUR,1.11368209
2026-03-26,EUR,1.11763653
2026-03-27,EUR,1.11472279
2026-03-28,EUR,1.11405153
2026-03-29,EUR,1.11044311
2026-03-30,EUR,1.10182276
2026-03-31,EUR,1.10062578
2026-04-01,EUR,1.10172133
2026-04-02,EUR,1.10812259
2026-04-03,EUR,1.10779574
2026-04-04,EUR,1.10713212
2026-04-05,EUR,1.10983269
2026-04-06,EUR,1.10712541
2026-04-07,EUR,1.10802885
2026-04-08,EUR,1.10432665
2026-04-09,EUR,1.10449337
2026-04-10,EUR,1.10015428
2026-04-11,EUR,1.10034588
2026-04-12,EUR,1.09618104
2026-04-13,EUR,1.09333189
2026-04-14,EUR,1.09473096
2026-04-15,EUR,1.09409065
2026-04-16,EUR,1.09666154
2026-04-17,EUR,1.09313217
2026-04-18,EUR,1.09547057
2026-04-19,EUR,1.09563118
2026-04-20,EUR,1.09698329
2026-04-21,EUR,1.09806686
2026-04-22,EUR,1.1042127
2026-04-23,EUR,1.10667682
2026-04-24,EUR,1.11013925
2026-04-25,EUR,1.10538743
2026-04-26,EUR,1.10788272
2026-04-27,EUR,1.10491228
2026-04-28,EUR,1.10344519
2026-04-29,EUR,1.1054958
2026-04-30,EUR,1.11106397
2026-05-01,EUR,1.11072773
2026-05-02,EUR,1.109686
2026-05-03,EUR,1.10744069
2026-05-04,EUR,1.1084809
2026-05-05,EUR,1.10227641
2026-05-06,EUR,1.09869558
2026-05-07,EUR,1.09906066
2026-05-08,EUR,1.09945566
2026-05-09,EUR,1.10169967
2026-05-10,EUR,1.10192743
2026-05-11,EUR,1.1023434
2026-05-12,EUR,1.101465
2026-05-13,EUR,1.10240384
2026-05-14,EUR,1.09914781
2026-05-15,EUR,1.09555428
2026-05-16,EUR,1.09329488
2026-05-17,EUR,1.08993051
2026-05-18,EUR,1.09154849
2026-05-19,EUR,1.09113947
2026-05-20,EUR,1.0935297
2026-05-21,EUR,1.08917025
2026-05-22,EUR,1.09104102
2026-05-23,EUR,1.08960033
2026-05-24,EUR,1.0900116
2026-05-25,EUR,1.0860574
2026-05-26,EUR,1.08355677
2026-05-27,EUR,1.08530639
2026-05-28,EUR,1.09030132
2026-05-29,EUR,1.09456232
2026-05-30,EUR,1.09263332
2026-05-31,EUR,1.08946106
2026-06-01,EUR,1.09695877
2026-06-02,EUR,1.09791576
2026-06-03,EUR,1.09784329
2026-06-04,EUR,1.09873967
2026-06-05,EUR,1.10045644
2026-06-06,EUR,1.0958372
2026-06-07,EUR,1.09389183
2026-06-08,EUR,1.09389697
2026-06-09,EUR,1.09405859
2026-06-10,EUR,1.0947006
2026-06-11,EUR,1.09201023
2026-06-12,EUR,1.08826002
2026-06-13,EUR,1.09165754
2026-06-14,EUR,1.09163511
2026-06-15,EUR,1.09098206
2026-06-16,EUR,1.09161797
2026-06-17,EUR,1.09279903
2026-06-18,EUR,1.09524857
2026-06-19,EUR,1.09193214
2026-06-20,EUR,1.09304152
2026-06-21,EUR,1.09305416
2026-06-22,EUR,1.09607321
2026-06-23,EUR,1.09030237
2026-06-24,EUR,1.09174162
2026-06-25,EUR,1.09974417
2026-06-26,EUR,1.09819779
2026-06-27,EUR,1.09905408
2026-06-28,EUR,1.10365986
2026-06-29,EUR,1.10314668
2026-06-30,EUR,1.10785821
2026-01-01,SGD,0.75055284
2026-01-02,SGD,0.75181649
2026-01-03,SGD,0.75224037
2026-01-04,SGD,0.7497184
2026-01-05,SGD,0.75082379
2026-01-06,SGD,0.75041876
2026-01-07,SGD,0.75246781
2026-01-08,SGD,0.75154187
2026-01-09,SGD,0.75124729
2026-01-10,SGD,0.75027395
2026-01-11,SGD,0.75102141
2026-01-12,SGD,0.75241638
2026-01-13,SGD,0.75260452
2026-01-14,SGD,0.75469266
2026-01-15,SGD,0.75487551
2026-01-16,SGD,0.75672105
2026-01-17,SGD,0.75707677
2026-01-18,SGD,0.75715653
2026-01-19,SGD,0.75707458
2026-01-20,SGD,0.75396961
2026-01-21,SGD,0.75256825
2026-01-22,SGD,0.75550661
2026-01-23,SGD,0.75519637
2026-01-24,SGD,0.75838855
2026-01-25,SGD,0.75894085
2026-01-26,SGD,0.76116659
2026-01-27,SGD,0.75771757
2026-01-28,SGD,0.75931785
2026-01-29,SGD,0.75993938
2026-01-30,SGD,0.75919709
2026-01-31,SGD,0.7575491
2026-02-01,SGD,0.75885318
2026-02-02,SGD,0.7613571
2026-02-03,SGD,0.75978286
2026-02-04,SGD,0.7592126
2026-02-05,SGD,0.75794081
2026-02-06,SGD,0.75748594
2026-02-07,SGD,0.75766479
2026-02-08,SGD,0.75789577
2026-02-09,SGD,0.75974467
2026-02-10,SGD,0.76083245
2026-02-11,SGD,0.75639713
2026-02-12,SGD,0.75287976
2026-02-13,SGD,0.75253359
2026-02-14,SGD,0.74939256
2026-02-15,SGD,0.7466933
2026-02-16,SGD,0.74786303
2026-02-17,SGD,0.74992131
2026-02-18,SGD,0.74577451
2026-02-19,SGD,0.74594421
2026-02-20,SGD,0.74305694
2026-02-21,SGD,0.74242584
2026-02-22,SGD,0.74353713
2026-02-23,SGD,0.74477078
2026-02-24,SGD,0.74192482
2026-02-25,SGD,0.74191891
2026-02-26,SGD,0.74275901
2026-02-27,SGD,0.74186595
2026-02-28,SGD,0.7440094
2026-03-01,SGD,0.74535362
2026-03-02,SGD,0.75100866
2026-03-03,SGD,0.75419333
2026-03-04,SGD,0.75249672
2026-03-05,SGD,0.75091792
2026-03-06,SGD,0.74988157
2026-03-07,SGD,0.75150871
2026-03-08,SGD,0.7472319
2026-03-09,SGD,0.74602266
2026-03-10,SGD,0.74703601
2026-03-11,SGD,0.74580589
2026-03-12,SGD,0.74702159
2026-03-13,SGD,0.74309128
2026-03-14,SGD,0.74521129
2026-03-15,SGD,0.74493286
2026-03-16,SGD,0.74772362
2026-03-17,SGD,0.74696118
2026-03-18,SGD,0.74584424
2026-03-19,SGD,0.74678719
2026-03-20,SGD,0.7447894
2026-03-21,SGD,0.74437025
2026-03-22,SGD,0.74838007
2026-03-23,SGD,0.7506179
2026-03-24,SGD,0.753758
2026-03-25,SGD,0.75361366
2026-03-26,SGD,0.75295416
2026-03-27,SGD,0.75340657
2026-03-28,SGD,0.75452433
2026-03-29,SGD,0.75289382
2026-03-30,SGD,0.75061932
2026-03-31,SGD,0.75340032
2026-04-01,SGD,0.75516478
2026-04-02,SGD,0.75332096
2026-04-03,SGD,0.75164991
2026-04-04,SGD,0.75093808
2026-04-05,SGD,0.75026749
2026-04-06,SGD,0.74729312
2026-04-07,SGD,0.74746885
2026-04-08,SGD,0.74567172
2026-04-09,SGD,0.74487881
2026-04-10,SGD,0.74544407
2026-04-11,SGD,0.74703505
2026-04-12,SGD,0.7489394
2026-04-13,SGD,0.75063428
2026-04-14,SGD,0.74884597
2026-04-15,SGD,0.75075197
2026-04-16,SGD,0.75306836
2026-04-17,SGD,0.75647177
2026-04-18,SGD,0.75614326
2026-04-19,SGD,0.75284494
2026-04-20,SGD,0.75447876
2026-04-21,SGD,0.75551942
2026-04-22,SGD,0.75593045
2026-04-23,SGD,0.75556099
2026-04-24,SGD,0.75568563
2026-04-25,SGD,0.75641924
2026-04-26,SGD,0.75472143
2026-04-27,SGD,0.75355856
2026-04-28,SGD,0.75365623
2026-04-29,SGD,0.75544133
2026-04-30,SGD,0.75673084
2026-05-01,SGD,0.75716072
2026-05-02,SGD,0.75837516
2026-05-03,SGD,0.75551046
2026-05-04,SGD,0.75410105
2026-05-05,SGD,0.75624392
2026-05-06,SGD,0.75498927
2026-05-07,SGD,0.75406206
2026-05-08,SGD,0.75573645
2026-05-09,SGD,0.75663846
2026-05-10,SGD,0.75594443
