payment_id,payment_date,account_id,payment_type,currency,amount_local,cross_border_flag,manual_touch_flag,exception_flag,late_release_flag,repair_minutes,fee_usd,status
P004326,2026-01-02,AC0007,Local transfer,USD,8348.27,False,False,False,False,0,1.5,Completed
P004552,2026-01-02,AC0034,Internal transfer,USD,191.68,False,False,False,False,0,1.5,Completed
P004852,2026-01-02,AC0030,ACH,USD,21742.08,False,False,False,False,0,1.5,Completed
P004978,2026-01-02,AC0019,Local transfer,GBP,23147.14,False,False,False,False,0,1.5,Completed
P005097,2026-01-02,AC0005,Internal transfer,USD,687.89,False,False,False,False,0,1.5,Completed
P005179,2026-01-02,AC0008,Local transfer,USD,67798.52,False,True,False,False,0,1.5,Completed
P005747,2026-01-02,AC0044,Wire,KRW,80315.95,False,True,False,False,0,19.5,Completed
P005767,2026-01-02,AC0014,Wire,CAD,1929.05,True,False,False,False,0,43.5,Completed
P005833,2026-01-02,AC0025,Wire,EUR,27232.57,False,True,False,False,0,19.5,Completed
P005937,2026-01-02,AC0021,Local transfer,EUR,18570.13,False,False,False,False,0,1.5,Completed
P006039,2026-01-02,AC0038,ACH,USD,4782.67,False,False,False,False,0,1.5,Completed
P006112,2026-01-02,AC0017,Internal transfer,GBP,57898.46,False,False,False,False,0,1.5,Completed
P006204,2026-01-02,AC0041,Wire,JPY,735.12,True,False,False,False,0,43.5,Completed
P006346,2026-01-02,AC0053,Local transfer,USD,11196.98,False,False,False,False,0,1.5,Completed
P006422,2026-01-02,AC0038,ACH,USD,23596.14,False,False,False,False,0,1.5,Completed
P006633,2026-01-02,AC0042,Payroll,USD,19036.85,False,False,False,False,0,1.5,Completed
P006771,2026-01-02,AC0033,Payroll,EUR,8669.0,False,True,False,False,0,1.5,Completed
P007039,2026-01-02,AC0030,Wire,USD,26218.07,True,False,False,False,0,43.5,Completed
P007170,2026-01-02,AC0025,Internal transfer,EUR,14372.14,False,False,False,False,0,1.5,Completed
P007363,2026-01-02,AC0044,Internal transfer,KRW,57072.34,False,True,False,True,0,1.5,Completed
P007423,2026-01-02,AC0027,Local transfer,EUR,9439.72,False,False,False,False,0,1.5,Completed
P007495,2026-01-02,AC0005,Internal transfer,USD,47572.32,False,False,False,False,0,1.5,Completed
P000017,2026-01-05,AC0028,Wire,EUR,6381.01,False,False,False,False,0,19.5,Completed
P000032,2026-01-05,AC0043,Local transfer,JPY,649.1,False,True,False,True,0,1.5,Completed
P000127,2026-01-05,AC0044,Wire,KRW,6689.91,False,False,False,False,0,19.5,Completed
P000162,2026-01-05,AC0014,Wire,CAD,8072.35,True,False,False,False,0,43.5,Completed
P000245,2026-01-05,AC0005,ACH,USD,37063.87,False,False,False,False,0,1.5,Completed
P000448,2026-01-05,AC0010,Local transfer,USD,3685.43,False,False,False,False,0,1.5,Completed
P000537,2026-01-05,AC0034,ACH,USD,33212.9,False,False,False,False,0,1.5,Completed
P000724,2026-01-05,AC0001,Local transfer,USD,42940.41,False,True,True,False,27,16.5,Repaired
P000851,2026-01-05,AC0044,Local transfer,KRW,25542.37,False,False,False,False,0,1.5,Completed
P001112,2026-01-05,AC0010,ACH,USD,18963.53,False,False,False,False,0,1.5,Completed
P001331,2026-01-05,AC0044,Internal transfer,KRW,84839.93,False,False,False,False,0,1.5,Completed
P001398,2026-01-05,AC0005,Wire,USD,826.39,False,False,False,False,0,19.5,Completed
P001436,2026-01-05,AC0034,Tax,USD,8910.2,False,False,False,False,0,1.5,Completed
P001514,2026-01-05,AC0005,Local transfer,USD,30915.62,False,False,False,False,0,1.5,Completed
P001987,2026-01-05,AC0021,Wire,EUR,4501.45,False,False,False,False,0,19.5,Completed
P002066,2026-01-05,AC0014,Local transfer,CAD,19218.87,False,False,True,False,16,16.5,Repaired
P002563,2026-01-05,AC0054,ACH,USD,8612.69,False,False,False,True,0,1.5,Completed
P002771,2026-01-05,AC0053,Internal transfer,USD,3048.84,False,True,False,False,0,1.5,Completed
P002877,2026-01-05,AC0053,Wire,USD,11178.34,False,False,False,False,0,19.5,Completed
P002956,2026-01-05,AC0045,Wire,KRW,7200.41,False,False,False,False,0,19.5,Completed
P003440,2026-01-05,AC0039,Wire,AUD,24407.28,True,True,False,False,0,43.5,Completed
P003462,2026-01-05,AC0010,Wire,USD,3621.27,True,True,False,False,0,43.5,Completed
P003491,2026-01-05,AC0028,Payroll,EUR,106244.8,False,False,False,False,0,1.5,Completed
P003507,2026-01-05,AC0001,Local transfer,USD,13751.93,False,False,False,False,0,1.5,Completed
P003556,2026-01-05,AC0010,Local transfer,USD,10502.1,False,True,False,False,0,1.5,Completed
P003599,2026-01-05,AC0045,Wire,KRW,16588.43,True,False,False,False,0,43.5,Completed
P003926,2026-01-05,AC0014,ACH,CAD,54808.81,False,False,False,False,0,1.5,Completed
P003974,2026-01-05,AC0053,Wire,USD,67426.97,False,False,False,False,0,19.5,Completed
P003978,2026-01-05,AC0028,Local transfer,EUR,6424.1,False,False,False,False,0,1.5,Completed
P004284,2026-01-05,AC0011,Local transfer,USD,4515.59,False,False,False,False,0,1.5,Completed
P004462,2026-01-05,AC0016,Wire,CAD,4136.04,False,False,False,False,0,19.5,Completed
P004633,2026-01-05,AC0041,Local transfer,JPY,38892.46,False,False,False,False,0,1.5,Completed
P004664,2026-01-05,AC0047,Local transfer,INR,2436.62,False,False,False,False,0,1.5,Completed
P004749,2026-01-05,AC0028,Wire,EUR,7335.63,True,True,False,False,0,43.5,Completed
P005150,2026-01-05,AC0025,Local transfer,EUR,27812.24,False,False,False,False,0,1.5,Completed
P005180,2026-01-05,AC0038,Internal transfer,USD,7366.16,False,False,False,False,0,1.5,Completed
P005207,2026-01-05,AC0044,Wire,KRW,23420.08,False,True,False,False,0,19.5,Completed
P005339,2026-01-05,AC0055,Wire,USD,8903.63,True,True,False,False,0,43.5,Completed
P005632,2026-01-05,AC0041,Wire,JPY,30267.65,True,False,False,False,0,43.5,Completed
P005649,2026-01-05,AC0010,ACH,USD,483.59,False,True,False,False,0,1.5,Completed
P005743,2026-01-05,AC0050,Payroll,HKD,11307.63,False,False,False,False,0,1.5,Completed
P006085,2026-01-05,AC0005,ACH,USD,17314.38,False,True,False,False,0,1.5,Completed
P006276,2026-01-05,AC0044,Local transfer,KRW,21018.26,False,False,False,False,0,1.5,Completed
P006387,2026-01-05,AC0044,Local transfer,KRW,72250.88,False,False,False,False,0,1.5,Completed
P006392,2026-01-05,AC0038,Local transfer,USD,14664.62,False,False,False,False,0,1.5,Completed
P006415,2026-01-05,AC0044,ACH,KRW,5571.12,False,False,False,False,0,1.5,Completed
P006421,2026-01-05,AC0010,Local transfer,USD,2607.97,False,False,False,False,0,1.5,Completed
P006458,2026-01-05,AC0017,ACH,GBP,1768.14,False,False,False,False,0,1.5,Completed
P006556,2026-01-05,AC0016,Local transfer,CAD,1932.38,False,False,False,False,0,1.5,Completed
P006955,2026-01-05,AC0007,Internal transfer,USD,1557.54,False,False,False,False,0,1.5,Completed
P007037,2026-01-05,AC0047,Local transfer,INR,46803.21,False,True,False,False,0,1.5,Completed
P007418,2026-01-05,AC0034,Local transfer,USD,35441.3,False,True,False,False,0,1.5,Completed
P007493,2026-01-05,AC0014,Local transfer,CAD,68547.93,False,False,False,False,0,1.5,Completed
P007583,2026-01-05,AC0053,Local transfer,USD,39235.67,False,True,False,False,0,1.5,Completed
P000313,2026-01-06,AC0055,Payroll,USD,8751.27,False,False,False,False,0,1.5,Completed
P000419,2026-01-06,AC0053,ACH,USD,16893.97,False,False,False,False,0,1.5,Completed
P000469,2026-01-06,AC0055,ACH,USD,6925.38,False,False,False,False,0,1.5,Completed
P000487,2026-01-06,AC0041,ACH,JPY,151182.06,False,False,False,False,0,1.5,Completed
P000596,2026-01-06,AC0031,Local transfer,USD,80090.72,False,False,False,False,0,1.5,Completed
P000666,2026-01-06,AC0014,ACH,CAD,13579.26,False,False,False,False,0,1.5,Completed
P000839,2026-01-06,AC0018,Local transfer,GBP,6102.3,False,False,False,False,0,1.5,Completed
P001273,2026-01-06,AC0028,Local transfer,EUR,4570.12,False,False,False,False,0,1.5,Completed
P001294,2026-01-06,AC0017,Local transfer,GBP,6327.7,False,True,False,False,0,1.5,Completed
P001315,2026-01-06,AC0011,Internal transfer,USD,11420.15,False,True,False,False,0,1.5,Completed
P001333,2026-01-06,AC0050,Wire,HKD,119216.59,False,False,False,False,0,19.5,Completed
P001487,2026-01-06,AC0053,Payroll,USD,27727.4,False,False,False,False,0,1.5,Completed
P001510,2026-01-06,AC0047,Local transfer,INR,14839.48,False,True,False,False,0,1.5,Completed
P001627,2026-01-06,AC0021,Tax,EUR,46763.09,False,False,False,False,0,1.5,Completed
P001775,2026-01-06,AC0036,Payroll,SGD,105793.99,False,False,False,False,0,1.5,Completed
P001794,2026-01-06,AC0038,ACH,USD,4663.93,False,False,False,False,0,1.5,Completed
P001802,2026-01-06,AC0050,Local transfer,HKD,178511.49,False,True,False,False,0,1.5,Completed
P001819,2026-01-06,AC0048,Wire,INR,62089.44,False,True,False,False,0,19.5,Completed
P001905,2026-01-06,AC0033,Wire,EUR,9355.15,True,True,False,True,0,43.5,Completed
P002142,2026-01-06,AC0053,Local transfer,USD,2723.34,False,False,False,False,0,1.5,Completed
P002302,2026-01-06,AC0047,Tax,INR,6605.38,False,False,False,False,0,1.5,Completed
P002714,2026-01-06,AC0028,Payroll,EUR,28468.11,False,False,False,False,0,1.5,Completed
P002910,2026-01-06,AC0025,ACH,EUR,10247.08,False,True,False,False,0,1.5,Completed
P003000,2026-01-06,AC0034,Local transfer,USD,8639.63,False,False,False,False,0,1.5,Completed
P003178,2026-01-06,AC0028,Local transfer,EUR,13150.97,False,False,False,False,0,1.5,Completed
P003469,2026-01-06,AC0053,Wire,USD,8771.38,True,False,False,False,0,43.5,Completed
P003542,2026-01-06,AC0033,ACH,EUR,273674.97,False,True,True,False,18,16.5,Repaired
P003675,2026-01-06,AC0054,Local transfer,USD,3522.32,False,True,False,False,0,1.5,Completed
P003716,2026-01-06,AC0019,ACH,GBP,3959.02,False,True,True,True,58,16.5,Repaired
P003750,2026-01-06,AC0038,Wire,USD,9919.74,False,False,False,False,0,19.5,Completed
P003849,2026-01-06,AC0028,ACH,EUR,5230.36,False,False,False,False,0,1.5,Completed
P003927,2026-01-06,AC0021,Tax,EUR,201422.65,False,False,False,False,0,1.5,Completed
P003982,2026-01-06,AC0021,Wire,EUR,34256.45,False,False,False,False,0,19.5,Completed
P004046,2026-01-06,AC0025,Local transfer,EUR,6737.18,False,True,False,False,0,1.5,Completed
P004178,2026-01-06,AC0003,Wire,USD,109903.56,True,False,True,False,50,58.5,Repaired
P004287,2026-01-06,AC0005,Local transfer,USD,21740.41,False,False,False,False,0,1.5,Completed
P004380,2026-01-06,AC0040,Wire,AUD,6428.56,False,True,False,False,0,19.5,Completed
P004635,2026-01-06,AC0019,ACH,GBP,4214.01,False,True,False,False,0,1.5,Completed
P004654,2026-01-06,AC0034,Internal transfer,USD,35421.09,False,True,False,False,0,1.5,Completed
P004885,2026-01-06,AC0025,Local transfer,EUR,9744.15,False,True,False,False,0,1.5,Completed
P005242,2026-01-06,AC0040,Local transfer,AUD,5535.41,False,False,False,False,0,1.5,Completed
P005261,2026-01-06,AC0005,ACH,USD,6934.77,False,True,False,False,0,1.5,Completed
P005262,2026-01-06,AC0029,ACH,EUR,8348.6,False,False,False,False,0,1.5,Completed
P005276,2026-01-06,AC0052,ACH,HKD,1973.44,False,False,False,False,0,1.5,Completed
P005461,2026-01-06,AC0034,Local transfer,USD,17051.98,False,False,False,False,0,1.5,Completed
P005592,2026-01-06,AC0034,Wire,USD,11743.14,True,True,False,False,0,43.5,Completed
P005606,2026-01-06,AC0014,Wire,CAD,3612.3,False,False,False,False,0,19.5,Completed
P005661,2026-01-06,AC0014,Wire,CAD,22452.93,False,False,False,False,0,19.5,Completed
P006014,2026-01-06,AC0028,Internal transfer,EUR,28221.78,False,False,False,False,0,1.5,Completed
P006161,2026-01-06,AC0016,Wire,CAD,15426.02,False,False,False,False,0,19.5,Completed
P006351,2026-01-06,AC0025,ACH,EUR,2651.36,False,True,False,False,0,1.5,Completed
P006411,2026-01-06,AC0012,Local transfer,USD,2026.91,False,False,False,False,0,1.5,Completed
P006970,2026-01-06,AC0017,Local transfer,GBP,4508.16,False,True,False,False,0,1.5,Completed
P007056,2026-01-06,AC0053,ACH,USD,52180.41,False,False,True,False,46,16.5,Repaired
P007083,2026-01-06,AC0044,Local transfer,KRW,5167.16,False,True,False,False,0,1.5,Completed
P007208,2026-01-06,AC0006,Local transfer,USD,17800.52,False,False,False,False,0,1.5,Completed
P007245,2026-01-06,AC0044,Local transfer,KRW,1810.79,False,False,False,False,0,1.5,Completed
P007314,2026-01-06,AC0043,ACH,JPY,15554.8,False,True,False,True,0,1.5,Completed
P000034,2026-01-07,AC0026,Local transfer,USD,4006.87,False,True,False,False,0,1.5,Completed
P000042,2026-01-07,AC0046,Payroll,KRW,20664.23,False,True,False,False,0,1.5,Completed
P000157,2026-01-07,AC0033,Wire,EUR,17416.8,True,False,False,False,0,43.5,Completed
P000173,2026-01-07,AC0040,ACH,AUD,1527.2,False,False,False,False,0,1.5,Completed
P000572,2026-01-07,AC0044,ACH,KRW,1660.59,False,True,False,False,0,1.5,Completed
P000790,2026-01-07,AC0017,Payroll,GBP,7744.36,False,True,False,False,0,1.5,Completed
P000812,2026-01-07,AC0053,Wire,USD,43956.66,False,False,True,False,49,34.5,Repaired
P000870,2026-01-07,AC0038,ACH,USD,2184.92,False,False,False,False,0,1.5,Completed
P000920,2026-01-07,AC0040,Wire,AUD,12956.28,False,False,False,False,0,19.5,Completed
P001007,2026-01-07,AC0001,Local transfer,USD,17321.84,False,True,False,True,0,1.5,Completed
P001088,2026-01-07,AC0010,Local transfer,USD,1006.6,False,True,False,False,0,1.5,Completed
P001370,2026-01-07,AC0021,ACH,EUR,7430.98,False,True,False,False,0,1.5,Completed
P001422,2026-01-07,AC0021,Payroll,EUR,24104.24,False,True,False,False,0,1.5,Completed
P001593,2026-01-07,AC0021,Local transfer,EUR,9352.58,False,True,True,False,12,16.5,Repaired
P001894,2026-01-07,AC0040,ACH,AUD,3552.53,False,True,True,False,64,16.5,Repaired
P002660,2026-01-07,AC0044,ACH,KRW,19394.31,False,False,False,False,0,1.5,Completed
P003059,2026-01-07,AC0016,ACH,CAD,11236.9,False,True,False,False,0,1.5,Completed
P003251,2026-01-07,AC0010,Local transfer,USD,23373.83,False,False,False,False,0,1.5,Completed
P003253,2026-01-07,AC0038,Local transfer,USD,15718.45,False,False,False,False,0,1.5,Completed
P003269,2026-01-07,AC0038,Wire,USD,3472.73,True,False,True,False,73,58.5,Repaired
P003371,2026-01-07,AC0017,Local transfer,GBP,13409.21,False,False,False,False,0,1.5,Completed
P003433,2026-01-07,AC0001,Wire,USD,2531.65,True,False,False,False,0,43.5,Completed
P003616,2026-01-07,AC0005,Wire,USD,98787.1,True,True,False,False,0,43.5,Completed
P003773,2026-01-07,AC0034,Wire,USD,235758.39,True,True,True,False,40,58.5,Rejected
P003821,2026-01-07,AC0052,Local transfer,HKD,18502.01,False,True,False,False,0,1.5,Completed
P003967,2026-01-07,AC0039,Payroll,AUD,15934.88,False,False,False,False,0,1.5,Completed
P004054,2026-01-07,AC0050,Local transfer,HKD,4551.88,False,True,False,False,0,1.5,Completed
P004321,2026-01-07,AC0030,ACH,USD,47971.81,False,True,False,False,0,1.5,Completed
P004371,2026-01-07,AC0005,Wire,USD,23609.18,True,False,False,False,0,43.5,Completed
P004465,2026-01-07,AC0028,Local transfer,EUR,18567.79,False,False,False,False,0,1.5,Completed
P004584,2026-01-07,AC0010,Wire,USD,30602.53,True,False,False,False,0,43.5,Completed
P004670,2026-01-07,AC0017,Local transfer,GBP,3616.23,False,False,False,False,0,1.5,Completed
P004821,2026-01-07,AC0054,Local transfer,USD,106503.09,False,False,False,False,0,1.5,Completed
P004901,2026-01-07,AC0021,Local transfer,EUR,13832.09,False,True,False,False,0,1.5,Completed
P005104,2026-01-07,AC0017,ACH,GBP,2020.76,False,False,False,False,0,1.5,Completed
P005145,2026-01-07,AC0031,Tax,USD,50396.99,False,False,False,False,0,1.5,Completed
P005163,2026-01-07,AC0038,ACH,USD,16215.08,False,False,False,False,0,1.5,Completed
P005266,2026-01-07,AC0021,Local transfer,EUR,32937.95,False,True,False,False,0,1.5,Completed
P005641,2026-01-07,AC0010,Wire,USD,29336.22,False,False,False,False,0,19.5,Completed
P005764,2026-01-07,AC0044,Internal transfer,KRW,8205.9,False,False,False,False,0,1.5,Completed
P005841,2026-01-07,AC0011,Local transfer,USD,32754.87,False,False,False,False,0,1.5,Completed
P005949,2026-01-07,AC0025,Local transfer,EUR,39889.73,False,True,False,False,0,1.5,Completed
P006134,2026-01-07,AC0034,Wire,USD,40698.81,False,True,True,False,36,34.5,Repaired
P006257,2026-01-07,AC0053,Local transfer,USD,34064.48,False,False,False,False,0,1.5,Completed
P006289,2026-01-07,AC0025,Local transfer,EUR,26067.14,False,False,False,False,0,1.5,Completed
P006363,2026-01-07,AC0042,ACH,USD,2313.84,False,False,False,False,0,1.5,Completed
P006396,2026-01-07,AC0033,Local transfer,EUR,5757.14,False,False,False,False,0,1.5,Completed
P006587,2026-01-07,AC0038,Wire,USD,3659.16,False,True,False,False,0,19.5,Completed
P006764,2026-01-07,AC0041,Local transfer,JPY,24529.94,False,False,False,False,0,1.5,Completed
P006821,2026-01-07,AC0047,ACH,INR,20188.46,False,True,False,False,0,1.5,Completed
P006825,2026-01-07,AC0005,Local transfer,USD,63905.14,False,True,False,False,0,1.5,Completed
P006836,2026-01-07,AC0021,Local transfer,EUR,15929.6,False,True,False,False,0,1.5,Completed
P006886,2026-01-07,AC0033,Local transfer,EUR,1130.58,False,False,False,False,0,1.5,Completed
P006974,2026-01-07,AC0010,Local transfer,USD,921.43,False,False,False,False,0,1.5,Completed
P007003,2026-01-07,AC0007,ACH,USD,10839.59,False,False,False,False,0,1.5,Completed
P007087,2026-01-07,AC0011,Wire,USD,230787.69,False,False,False,False,0,19.5,Completed
P007155,2026-01-07,AC0053,Local transfer,USD,5323.85,False,True,False,False,0,1.5,Completed
P007293,2026-01-07,AC0047,ACH,INR,1210.17,False,False,False,False,0,1.5,Completed
P007309,2026-01-07,AC0031,Payroll,USD,396267.88,False,False,False,False,0,1.5,Completed
P007360,2026-01-07,AC0014,Payroll,CAD,34432.43,False,True,False,False,0,1.5,Completed
P007554,2026-01-07,AC0046,ACH,KRW,13886.27,False,True,False,False,0,1.5,Completed
P007555,2026-01-07,AC0028,Local transfer,EUR,50170.22,False,False,False,False,0,1.5,Completed
P000041,2026-01-08,AC0019,ACH,GBP,34750.57,False,False,False,False,0,1.5,Completed
P000138,2026-01-08,AC0038,Local transfer,USD,20528.95,False,False,False,False,0,1.5,Completed
