date,entity_id,entity_name,region,account_count,positive_account_count,negative_account_count,gross_account_positive_available_usd,gross_account_negative_available_usd,entity_net_estimated_available_usd,within_entity_mixed_sign_flag,entity_net_deficit_flag,evidence_label,decision_boundary
2026-01-03,E007,Aurelius France,EMEA,3,2,1,1189311.3573062203,-1051051.1072895024,138260.25001671794,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E008,Aurelius Netherlands,EMEA,3,3,0,6647988.329627805,0.0,6647988.329627805,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E009,Aurelius Spain,EMEA,3,3,0,3751879.8600612925,0.0,3751879.8600612925,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E010,Aurelius Singapore,APAC,4,3,1,1380430.789065088,-801375.82,579054.969065088,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E011,Aurelius Australia,APAC,3,3,0,6608468.150368432,0.0,6608468.150368432,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E012,Aurelius Japan,APAC,3,3,0,503712.3452969048,0.0,503712.3452969048,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E013,Aurelius Korea,APAC,3,3,0,3005.4225128310004,0.0,3005.4225128310004,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E014,Aurelius India,APAC,3,3,0,513270.00643385027,0.0,513270.00643385027,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E015,Aurelius Hong Kong,APAC,3,3,0,475417.4882929696,0.0,475417.4882929696,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E016,Aurelius Global Sourcing,APAC,3,3,0,2791611.62,0.0,2791611.62,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E001,Aurelius Group Holdings,NA,4,4,0,3391149.52,0.0,3391149.52,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E002,Aurelius Home US,NA,5,5,0,7837358.53,0.0,7837358.53,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E003,Aurelius Wellness US,NA,4,4,0,7744601.08,0.0,7744601.08,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E004,Aurelius Canada,NA,3,3,0,2307579.5210630037,0.0,2307579.5210630037,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E005,Aurelius UK,EMEA,4,4,0,5073186.006166252,0.0,5073186.006166252,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E006,Aurelius Germany,EMEA,4,4,0,8399025.167070972,0.0,8399025.167070972,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E007,Aurelius France,EMEA,3,2,1,1154035.404193515,-834626.7324263745,319408.6717671404,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E008,Aurelius Netherlands,EMEA,3,3,0,5319816.854745242,0.0,5319816.854745242,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E009,Aurelius Spain,EMEA,3,3,0,3944440.554252958,0.0,3944440.554252958,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E010,Aurelius Singapore,APAC,4,3,1,1162806.258521696,-815563.2,347243.0585216961,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E011,Aurelius Australia,APAC,3,3,0,6360309.150751184,0.0,6360309.150751184,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E012,Aurelius Japan,APAC,3,3,0,549727.9588563711,0.0,549727.9588563711,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E013,Aurelius Korea,APAC,3,3,0,3366.1068733162,0.0,3366.1068733162,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E014,Aurelius India,APAC,3,3,0,563269.4721689123,0.0,563269.4721689123,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E015,Aurelius Hong Kong,APAC,3,3,0,482700.8528522446,0.0,482700.8528522446,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-04,E016,Aurelius Global Sourcing,APAC,3,3,0,2625675.71,0.0,2625675.71,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E001,Aurelius Group Holdings,NA,4,4,0,3519259.9,0.0,3519259.9,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E002,Aurelius Home US,NA,5,5,0,6599869.43,0.0,6599869.43,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E003,Aurelius Wellness US,NA,4,4,0,7645856.79,0.0,7645856.79,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E004,Aurelius Canada,NA,3,3,0,2232418.8269714615,0.0,2232418.8269714615,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E005,Aurelius UK,EMEA,4,4,0,4781678.168610863,0.0,4781678.168610863,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E006,Aurelius Germany,EMEA,4,4,0,7853701.320904313,0.0,7853701.320904313,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E007,Aurelius France,EMEA,3,2,1,1118401.3985351739,-966365.0950009825,152036.30353419133,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E008,Aurelius Netherlands,EMEA,3,3,0,5053366.979748641,0.0,5053366.979748641,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E009,Aurelius Spain,EMEA,3,3,0,4105232.9145756727,0.0,4105232.9145756727,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E010,Aurelius Singapore,APAC,4,3,1,1141885.3004691554,-889252.92,252632.38046915544,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E011,Aurelius Australia,APAC,3,3,0,7894619.672431487,0.0,7894619.672431487,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E012,Aurelius Japan,APAC,3,3,0,551212.6507774997,0.0,551212.6507774997,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E013,Aurelius Korea,APAC,3,3,0,3253.0726745735,0.0,3253.0726745735,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E014,Aurelius India,APAC,3,3,0,515303.08943673735,0.0,515303.08943673735,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E015,Aurelius Hong Kong,APAC,3,3,0,439522.5675737747,0.0,439522.5675737747,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-05,E016,Aurelius Global Sourcing,APAC,3,3,0,2822274.57,0.0,2822274.57,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E001,Aurelius Group Holdings,NA,4,4,0,3955436.47,0.0,3955436.47,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E002,Aurelius Home US,NA,5,5,0,7399598.27,0.0,7399598.27,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E003,Aurelius Wellness US,NA,4,4,0,6858726.23,0.0,6858726.23,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E004,Aurelius Canada,NA,3,3,0,2253798.266693021,0.0,2253798.266693021,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E005,Aurelius UK,EMEA,4,4,0,4819780.469259084,0.0,4819780.469259084,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E006,Aurelius Germany,EMEA,4,4,0,8257158.8293954665,0.0,8257158.8293954665,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E007,Aurelius France,EMEA,3,2,1,1175389.1487366597,-1207305.7406528534,-31916.591916193778,True,True,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E008,Aurelius Netherlands,EMEA,3,3,0,5296085.775514377,0.0,5296085.775514377,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E009,Aurelius Spain,EMEA,3,3,0,3537958.0468943184,0.0,3537958.0468943184,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E010,Aurelius Singapore,APAC,4,3,1,1200248.408228069,-1059337.87,140910.53822806902,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E011,Aurelius Australia,APAC,3,3,0,6841431.110253237,0.0,6841431.110253237,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E012,Aurelius Japan,APAC,3,3,0,554081.5337629741,0.0,554081.5337629741,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E013,Aurelius Korea,APAC,3,3,0,3075.6231174606,0.0,3075.6231174606,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E014,Aurelius India,APAC,3,3,0,483430.473612886,0.0,483430.473612886,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E015,Aurelius Hong Kong,APAC,3,3,0,423769.59311883495,0.0,423769.59311883495,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-06,E016,Aurelius Global Sourcing,APAC,3,3,0,2888980.33,0.0,2888980.33,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E001,Aurelius Group Holdings,NA,4,4,0,3831668.45,0.0,3831668.45,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E002,Aurelius Home US,NA,5,5,0,6564872.680000001,0.0,6564872.680000001,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E003,Aurelius Wellness US,NA,4,4,0,6571908.51,0.0,6571908.51,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E004,Aurelius Canada,NA,3,3,0,2291439.27620426,0.0,2291439.27620426,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E005,Aurelius UK,EMEA,4,4,0,4657664.255307841,0.0,4657664.255307841,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E006,Aurelius Germany,EMEA,4,4,0,8202251.398791275,0.0,8202251.398791275,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E007,Aurelius France,EMEA,3,2,1,1219756.7788491752,-1177183.999083999,42572.77976517612,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E008,Aurelius Netherlands,EMEA,3,3,0,5732885.97291645,0.0,5732885.97291645,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E009,Aurelius Spain,EMEA,3,3,0,3789238.5818192777,0.0,3789238.5818192777,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E010,Aurelius Singapore,APAC,4,3,1,1174671.1548873617,-1045401.53,129269.62488736169,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E011,Aurelius Australia,APAC,3,3,0,8444231.752069402,0.0,8444231.752069402,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E012,Aurelius Japan,APAC,3,3,0,595633.081841796,0.0,595633.081841796,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E013,Aurelius Korea,APAC,3,3,0,2795.65034508,0.0,2795.65034508,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E014,Aurelius India,APAC,3,3,0,461408.90035563137,0.0,461408.90035563137,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E015,Aurelius Hong Kong,APAC,3,3,0,405476.76649042504,0.0,405476.76649042504,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-07,E016,Aurelius Global Sourcing,APAC,3,3,0,2450827.59,0.0,2450827.59,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E001,Aurelius Group Holdings,NA,4,4,0,3847843.56,0.0,3847843.56,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E002,Aurelius Home US,NA,5,5,0,6684684.08,0.0,6684684.08,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E003,Aurelius Wellness US,NA,4,4,0,7364921.22,0.0,7364921.22,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E004,Aurelius Canada,NA,3,3,0,2422319.614910436,0.0,2422319.614910436,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E005,Aurelius UK,EMEA,4,4,0,5060128.686496131,0.0,5060128.686496131,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E006,Aurelius Germany,EMEA,4,4,0,8612519.546119165,0.0,8612519.546119165,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E007,Aurelius France,EMEA,3,2,1,1337378.6112581193,-1275824.4619002012,61554.14935791807,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E008,Aurelius Netherlands,EMEA,3,3,0,6347005.788576196,0.0,6347005.788576196,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E009,Aurelius Spain,EMEA,3,3,0,4166314.4528125185,0.0,4166314.4528125185,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E010,Aurelius Singapore,APAC,4,3,1,1146010.0845053073,-1028877.76,117132.32450530717,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E011,Aurelius Australia,APAC,3,3,0,7057899.460692666,0.0,7057899.460692666,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E012,Aurelius Japan,APAC,3,3,0,493692.030215064,0.0,493692.030215064,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E013,Aurelius Korea,APAC,3,3,0,2883.8017169325,0.0,2883.8017169325,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E014,Aurelius India,APAC,3,3,0,524136.234345605,0.0,524136.234345605,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E015,Aurelius Hong Kong,APAC,3,3,0,469622.89716023626,0.0,469622.89716023626,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-08,E016,Aurelius Global Sourcing,APAC,3,3,0,2475754.74,0.0,2475754.74,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E001,Aurelius Group Holdings,NA,4,4,0,3456806.12,0.0,3456806.12,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E002,Aurelius Home US,NA,5,5,0,7469746.0,0.0,7469746.0,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E003,Aurelius Wellness US,NA,4,4,0,7581675.63,0.0,7581675.63,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E004,Aurelius Canada,NA,3,3,0,2292094.4148872932,0.0,2292094.4148872932,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E005,Aurelius UK,EMEA,4,4,0,4768944.538874514,0.0,4768944.538874514,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E006,Aurelius Germany,EMEA,4,4,0,8786250.154822454,0.0,8786250.154822454,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E007,Aurelius France,EMEA,3,2,1,1367356.9598831795,-1253100.4576820321,114256.50220114744,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E008,Aurelius Netherlands,EMEA,3,3,0,6543029.582343018,0.0,6543029.582343018,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E009,Aurelius Spain,EMEA,3,3,0,3585180.8040650506,0.0,3585180.8040650506,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E010,Aurelius Singapore,APAC,4,3,1,1226703.961993913,-868013.81,358690.1519939129,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E011,Aurelius Australia,APAC,3,3,0,7199179.653761966,0.0,7199179.653761966,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E012,Aurelius Japan,APAC,3,3,0,555525.2408066903,0.0,555525.2408066903,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E013,Aurelius Korea,APAC,3,3,0,3139.1706973440005,0.0,3139.1706973440005,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-09,E014,Aurelius India,APAC,3,3,0,520991.190253695,0.0,520991.190253695,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
