control_record_id,control_type,option_id,option_name,control_name,control_rule,test_result,execution_evidence_status,model_effect,evidence_boundary
G04-federated_coordination,NON_COMPENSATING_HARD_GATE,federated_coordination,Federated coordination,Resilience and rollback,A rehearsable prior-process fallback and later restoration within four hours are part of the design.,PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G05-federated_coordination,NON_COMPENSATING_HARD_GATE,federated_coordination,Federated coordination,ERP and architecture constraint,"The option works around three current ERPs, avoids major replacement, and identifies the retiring-platform exit path.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G06-federated_coordination,NON_COMPENSATING_HARD_GATE,federated_coordination,Federated coordination,Affordability and accountable funding,The costed initial scope fits the CFO's $1.0–$1.5m FY2026 envelope; larger commitments require staged approval and demonstrated Wave 1 benefits.,PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G07-federated_coordination,NON_COMPENSATING_HARD_GATE,federated_coordination,Federated coordination,Evidence and funded-value discipline,"No screened cash, estimated fee, capacity, cause, closure, or external benchmark becomes an approved benefit by scoring.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G01-globally_coordinated,NON_COMPENSATING_HARD_GATE,globally_coordinated,Globally coordinated,Authoritative data and metric ownership,"Named source/metric owners, definitions, lineage, reconciliation, and change control are explicit.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G02-globally_coordinated,NON_COMPENSATING_HARD_GATE,globally_coordinated,Globally coordinated,Local rights and critical-service continuity,"Local legal, tax, settlement, service, peak-period, and emergency rights remain explicit.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G03-globally_coordinated,NON_COMPENSATING_HARD_GATE,globally_coordinated,Globally coordinated,Control integrity and accountable ownership,"Required authorization, SoD, access, audit, duplicate, sanctions, and reconciliation controls remain designed and owned.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G04-globally_coordinated,NON_COMPENSATING_HARD_GATE,globally_coordinated,Globally coordinated,Resilience and rollback,A rehearsable prior-process fallback and later restoration within four hours are part of the design.,PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G05-globally_coordinated,NON_COMPENSATING_HARD_GATE,globally_coordinated,Globally coordinated,ERP and architecture constraint,"The option works around three current ERPs, avoids major replacement, and identifies the retiring-platform exit path.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G06-globally_coordinated,NON_COMPENSATING_HARD_GATE,globally_coordinated,Globally coordinated,Affordability and accountable funding,The costed initial scope fits the CFO's $1.0–$1.5m FY2026 envelope; larger commitments require staged approval and demonstrated Wave 1 benefits.,PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G07-globally_coordinated,NON_COMPENSATING_HARD_GATE,globally_coordinated,Globally coordinated,Evidence and funded-value discipline,"No screened cash, estimated fee, capacity, cause, closure, or external benchmark becomes an approved benefit by scoring.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
MC01,MODEL_GOVERNANCE,ALL_OPTIONS,All options,Weights locked before scores,The seven base weights are fixed at W3-DP-v1 · 2026-08-18 and sum to 100%.,PASS,Not applicable — analytical control,Required for valid model output,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
MC02,MODEL_GOVERNANCE,ALL_OPTIONS,All options,Common scoring rubric,Every option is scored once on the same seven 1–5 criteria with rationale and confidence.,PASS,Not applicable — analytical control,Required for valid model output,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
MC03,MODEL_GOVERNANCE,ALL_OPTIONS,All options,Gate then score,A failed hard gate excludes an option; weighted value cannot compensate for failure.,PASS,Not applicable — analytical control,Required for valid model output,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
MC04,MODEL_GOVERNANCE,ALL_OPTIONS,All options,Sensitivity contract,Alternative lenses reweight only the same seven criteria and each sums to 100%.,PASS,Not applicable — analytical control,Required for valid model output,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
MC05,MODEL_GOVERNANCE,ALL_OPTIONS,All options,Week 2 evidence reconciliation,The model fails closed if the governed Week 2 finding anchors drift.,PASS,Not applicable — analytical control,Required for valid model output,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
MC06,MODEL_GOVERNANCE,ALL_OPTIONS,All options,No business-case inference,"Option scores do not calculate benefits, costs, ROI, NPV, payback, cash movement, closure, or labor removal.",PASS,Not applicable — analytical control,Required for valid model output,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
MC07,MODEL_GOVERNANCE,ALL_OPTIONS,All options,Human decision retained,"The result is an analyst proposal and cannot authorize execution, funding, or scale.",PASS,Not applicable — analytical control,Required for valid model output,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
