account_id,entity_id,entity_name,region,country,bank_name,currency,purpose,status,account_age_years,visibility_method,sweep_structure,erp_system,acquisition_origin,cash_restriction_level,restricted_flag,annual_fee_usd,supplied_payment_records,supplied_payment_value_usd,last_supplied_payment_date,average_positive_available_usd,average_absolute_available_usd,latest_available_usd,closure_validation_candidate,candidate_reason,protection_or_validation_reason,evidence_label,decision_boundary
AC0040,E011,Aurelius Australia,APAC,Australia,Continental Trust,AUD,Payroll,Active,7.0,Spreadsheet,None,SAP-S4,Organic,Low,True,3600,71,1272591.8942105232,2026-06-29,562887.6681767446,562887.6681767446,571558.8113266785,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0042,E012,Aurelius Japan,APAC,Japan,Union Atlantic,USD,Collection,Active,13.4,Host-to-host,None,Legacy-D365,Kanso-2022,Medium,False,3600,54,2458605.4,2026-06-18,546141.8866298342,546141.8866298342,517671.21,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0048,E014,Aurelius India,APAC,India,Continental Trust,INR,Collection,Active,15.7,Spreadsheet,None,Legacy-D365,Organic,High,True,3600,45,22515.3548511322,2026-06-29,16698.471536963363,16698.471536963363,15462.921063660002,False,Does not meet the narrow primary screen,collection purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0054,E016,Aurelius Global Sourcing,APAC,Singapore,Northbridge Bank,USD,Collection,Active,2.0,Host-to-host,None,SAP-S4,Organic,Medium,False,3600,50,1327886.13,2026-06-29,1233476.6627071823,1233476.6627071823,1280067.04,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0055,E016,Aurelius Global Sourcing,APAC,Singapore,Meridian Commercial,USD,Payroll,Active,2.9,API,None,SAP-S4,Organic,Medium,True,3600,71,1580264.95,2026-06-30,314917.2222651934,314917.2222651934,341037.85,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0001,E001,Aurelius Group Holdings,NA,United States,Union Atlantic,USD,Operating,Active,15.1,Spreadsheet,Domestic sweep,Oracle-E1,Organic,Low,False,2400,318,10825652.77,2026-06-30,2365483.8119337014,2365483.8119337014,2578167.03,False,Does not meet the narrow primary screen,domestic sweep dependency; active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0002,E001,Aurelius Group Holdings,NA,United States,Pacific Crown,USD,Collection,Active,14.1,Portal,None,Oracle-E1,Organic,Low,False,2400,41,1540575.79,2026-06-19,920312.0477348067,920312.0477348067,897197.24,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0012,E003,Aurelius Wellness US,NA,United States,Northbridge Bank,USD,Payroll,Active,16.2,Host-to-host,None,Oracle-E1,Summit-2021,Low,True,2400,94,2739167.98,2026-06-30,710400.4463535912,710400.4463535912,664695.04,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,GBP,Operating,Active,4.2,Spreadsheet,Regional pool,SAP-S4,Harbor-2020,Low,False,2400,369,18573036.285025593,2026-06-29,2748386.4478469663,2748386.4478469663,2278795.340741417,False,Does not meet the narrow primary screen,regional pool dependency; active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0026,E007,Aurelius France,EMEA,France,Union Atlantic,USD,Collection,Active,7.4,Portal,None,SAP-S4,Harbor-2020,Low,False,2400,43,2213416.54,2026-06-29,887745.4170165746,887745.4170165746,762847.36,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0028,E008,Aurelius Netherlands,EMEA,Netherlands,Meridian Commercial,EUR,Operating,Active,10.9,Host-to-host,Regional pool,SAP-S4,Organic,Low,False,2400,326,9702535.039358491,2026-06-30,2636211.104714775,2636211.104714775,2618662.564458734,False,Does not meet the narrow primary screen,regional pool dependency; active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0030,E008,Aurelius Netherlands,EMEA,Netherlands,Pacific Crown,USD,Payroll,Active,5.5,API,None,SAP-S4,Organic,Low,True,2400,78,5196615.04,2026-06-29,600214.5577900553,600214.5577900553,567710.54,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0033,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,EUR,Payroll,Active,6.2,Spreadsheet,None,Legacy-D365,Verde-2023,Low,True,2400,78,2307615.267480115,2026-06-26,510783.0855402533,510783.0855402533,529852.3881152794,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0036,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,SGD,Payroll,Active,2.4,Host-to-host,None,SAP-S4,Organic,Medium,True,2400,84,1998475.8573400008,2026-06-30,228525.9016822087,228525.9016822087,235704.16726234328,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0047,E014,Aurelius India,APAC,India,Meridian Commercial,INR,Operating,Active,12.9,Spreadsheet,None,Legacy-D365,Organic,High,True,2400,323,160156.6566740385,2026-06-30,20795.500649846916,20795.500649846916,18026.07544154,False,Does not meet the narrow primary screen,preliminary restriction flag; active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0052,E015,Aurelius Hong Kong,APAC,Hong Kong,Continental Trust,HKD,Payroll,Active,4.5,API,None,SAP-S4,Organic,Medium,True,2400,89,329549.4109283806,2026-06-29,33729.75234509736,33729.75234509736,35492.303621806204,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0053,E016,Aurelius Global Sourcing,APAC,Singapore,Pacific Crown,USD,Operating,Active,11.6,API,None,SAP-S4,Organic,Medium,False,2400,383,12197767.17,2026-06-30,1151778.7430386741,1151778.7430386741,1176652.77,False,Does not meet the narrow primary screen,active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0015,E004,Aurelius Canada,NA,Canada,Pacific Crown,CAD,Collection,Active,7.2,Spreadsheet,None,Oracle-E1,Organic,Low,False,1800,35,472747.3783360447,2026-06-29,1102911.786810268,1102911.786810268,1018869.3859868619,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0020,E005,Aurelius UK,EMEA,United Kingdom,Meridian Commercial,GBP,Tax,Active,6.5,API,None,SAP-S4,Harbor-2020,Low,True,1800,31,1442610.5390758475,2026-06-26,379646.69952561776,379646.69952561776,373436.28276973503,False,Does not meet the narrow primary screen,tax purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,EUR,Operating,Active,13.0,Spreadsheet,Regional pool,SAP-S4,Organic,Low,False,1800,324,11603736.705313163,2026-06-30,5362036.582352994,5362036.582352994,5556329.96466271,False,Does not meet the narrow primary screen,regional pool dependency; active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0022,E006,Aurelius Germany,EMEA,Germany,Meridian Commercial,EUR,Collection,Active,5.7,Portal,None,SAP-S4,Organic,Low,False,1800,42,2367968.502573406,2026-06-29,2435230.4616442122,2435230.4616442122,2455452.2947181,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0041,E012,Aurelius Japan,APAC,Japan,Continental Trust,JPY,Operating,Active,2.7,Host-to-host,None,Legacy-D365,Kanso-2022,Medium,False,1800,335,78864.3057668998,2026-06-29,7188.878588127619,7188.878588127619,5460.3104283686,False,Does not meet the narrow primary screen,active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0051,E015,Aurelius Hong Kong,APAC,Hong Kong,Pacific Crown,HKD,Collection,Active,8.7,Host-to-host,None,SAP-S4,Organic,Medium,False,1800,58,230841.0383208958,2026-06-26,89113.84989643643,89113.84989643643,75982.3501720842,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0005,E002,Aurelius Home US,NA,United States,Continental Trust,USD,Operating,Active,12.6,API,Domestic sweep,Oracle-E1,Organic,Low,False,1200,372,10251693.75,2026-06-30,2774023.453756906,2774023.453756906,2886942.34,False,Does not meet the narrow primary screen,domestic sweep dependency; active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0007,E002,Aurelius Home US,NA,United States,Northbridge Bank,USD,Payroll,Active,14.8,Host-to-host,None,Oracle-E1,Organic,Low,True,1200,64,2023327.1500000001,2026-06-30,1076659.2735911603,1076659.2735911603,823520.45,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0011,E003,Aurelius Wellness US,NA,United States,Continental Trust,USD,Collection,Active,9.8,API,None,Oracle-E1,Summit-2021,Low,False,1200,41,1557752.03,2026-06-19,1991497.9018232045,1991497.9018232045,2118213.55,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0013,E003,Aurelius Wellness US,NA,United States,Union Atlantic,USD,Tax,Active,8.2,Host-to-host,None,Oracle-E1,Summit-2021,Low,True,1200,22,716013.83,2026-06-26,692845.2791160222,692845.2791160222,704724.07,False,Does not meet the narrow primary screen,tax purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0016,E004,Aurelius Canada,NA,Canada,Meridian Commercial,CAD,Payroll,Active,11.0,Spreadsheet,None,Oracle-E1,Organic,Low,True,1200,89,1478502.9362145173,2026-06-26,433566.96638160053,433566.96638160053,392301.360025974,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0023,E006,Aurelius Germany,EMEA,Germany,Northbridge Bank,EUR,Payroll,Active,3.5,Host-to-host,None,SAP-S4,Organic,Low,True,1200,65,3529785.904695783,2026-06-30,698725.1877841091,698725.1877841091,639107.6808410002,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0029,E008,Aurelius Netherlands,EMEA,Netherlands,Continental Trust,EUR,Collection,Active,7.2,API,None,SAP-S4,Organic,Low,False,1200,38,1674037.2970649498,2026-06-26,2781805.0958462623,2781805.0958462623,2664768.2552699754,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0043,E012,Aurelius Japan,APAC,Japan,Union Atlantic,JPY,Payroll,Active,5.3,Portal,None,Legacy-D365,Kanso-2022,Medium,True,1200,77,16012.9090479828,2026-06-30,3334.028139670665,3334.028139670665,3089.261398786,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0044,E013,Aurelius Korea,APAC,South Korea,Northbridge Bank,KRW,Operating,Active,5.6,Host-to-host,None,Legacy-D365,Kanso-2022,Medium,False,1200,341,7267.9823747311,2026-06-29,1682.474297285087,1682.474297285087,1687.6602501132,False,Does not meet the narrow primary screen,active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0045,E013,Aurelius Korea,APAC,South Korea,Pacific Crown,KRW,Collection,Active,4.4,Spreadsheet,None,Legacy-D365,Kanso-2022,Medium,False,1200,44,1143.8747481215999,2026-06-22,1090.3271240651213,1090.3271240651213,1010.215061834,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0050,E015,Aurelius Hong Kong,APAC,Hong Kong,Union Atlantic,HKD,Operating,Active,10.7,Portal,None,SAP-S4,Organic,Medium,False,1200,358,1782334.8295779594,2026-06-30,328334.2893869329,328334.2893869329,238623.85166916664,False,Does not meet the narrow primary screen,active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0003,E001,Aurelius Group Holdings,NA,United States,Meridian Commercial,USD,Payroll,Active,6.4,API,None,Oracle-E1,Organic,Low,True,900,68,2215694.21,2026-06-30,338475.667679558,338475.667679558,338342.91,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0006,E002,Aurelius Home US,NA,United States,Pacific Crown,USD,Collection,Active,4.0,Host-to-host,None,Oracle-E1,Organic,Low,False,900,46,1824815.12,2026-06-30,2924899.135580111,2924899.135580111,2920407.47,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,USD,Operating,Active,6.8,Spreadsheet,Domestic sweep,Oracle-E1,Summit-2021,Low,False,900,346,10526408.12,2026-06-29,3954949.607734807,3954949.607734807,4302824.27,False,Does not meet the narrow primary screen,domestic sweep dependency; active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0018,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,GBP,Collection,Active,8.4,Portal,None,SAP-S4,Harbor-2020,Low,False,900,50,1950870.7875711173,2026-06-29,1409470.5497057105,1409470.5497057105,1737767.220091428,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0019,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,GBP,Payroll,Active,7.9,Host-to-host,None,SAP-S4,Harbor-2020,Low,True,900,78,2890261.703379762,2026-06-30,420231.7309486344,420231.7309486344,392834.50138161296,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0032,E009,Aurelius Spain,EMEA,Spain,Northbridge Bank,EUR,Collection,Active,7.2,Host-to-host,None,Legacy-D365,Verde-2023,Low,False,900,57,1892968.0620852618,2026-06-30,1155460.350122887,1155460.350122887,1057834.755886407,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0034,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,USD,Operating,Active,6.1,Spreadsheet,None,SAP-S4,Organic,Medium,False,900,332,11339866.1,2026-06-30,0.0,908622.3744198898,-887011.95,False,Does not meet the narrow primary screen,active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0035,E010,Aurelius Singapore,APAC,Singapore,Pacific Crown,SGD,Collection,Active,10.8,Host-to-host,None,SAP-S4,Organic,Medium,False,900,47,1022082.8324113733,2026-06-23,962003.8714021539,962003.8714021539,949036.7694589691,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0039,E011,Aurelius Australia,APAC,Australia,Continental Trust,AUD,Collection,Active,4.9,Host-to-host,None,SAP-S4,Organic,Low,False,900,51,908161.4437969464,2026-06-29,1952843.2950366642,1952843.2950366642,1574689.7032263686,False,Does not meet the narrow primary screen,collection purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0046,E013,Aurelius Korea,APAC,South Korea,Union Atlantic,KRW,Payroll,Active,12.3,Spreadsheet,None,Legacy-D365,Kanso-2022,Medium,True,900,70,2050.1538163801,2026-06-30,365.30802347452766,365.30802347452766,334.8324556918,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0049,E014,Aurelius India,APAC,India,Pacific Crown,USD,Payroll,Active,12.0,API,None,Legacy-D365,Organic,High,True,900,75,3196473.27,2026-06-29,472491.04850828723,472491.04850828723,425777.03,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
