payment_id,date,account_id,entity_id,entity_name,region,currency,bank_name,priority_payment_cohort,exception_flag,repair_minutes
P004151,2026-01-01,AC0027,E007,Aurelius France,EMEA,EUR,Pacific Crown,Neither priority cohort,False,0
P004217,2026-01-01,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Manual touch only,False,0
P004455,2026-01-01,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Manual touch + cross-border wire,False,0
P004798,2026-01-01,AC0055,E016,Aurelius Global Sourcing,APAC,USD,Meridian Commercial,Neither priority cohort,False,0
P004814,2026-01-01,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P004849,2026-01-01,AC0048,E014,Aurelius India,APAC,INR,Continental Trust,Neither priority cohort,False,0
P005034,2026-01-01,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P005094,2026-01-01,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Manual touch only,False,0
P005359,2026-01-01,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P006071,2026-01-01,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,False,0
P006174,2026-01-01,AC0047,E014,Aurelius India,APAC,INR,Meridian Commercial,Neither priority cohort,False,0
P006262,2026-01-01,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Manual touch only,False,0
P006386,2026-01-01,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Manual touch only,False,0
P006435,2026-01-01,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Manual touch only,False,0
P006461,2026-01-01,AC0022,E006,Aurelius Germany,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P006730,2026-01-01,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P006792,2026-01-01,AC0027,E007,Aurelius France,EMEA,EUR,Pacific Crown,Cross-border wire only,False,0
P006808,2026-01-01,AC0027,E007,Aurelius France,EMEA,EUR,Pacific Crown,Neither priority cohort,False,0
P006866,2026-01-01,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Manual touch only,False,0
P007059,2026-01-01,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Manual touch only,False,0
P007102,2026-01-01,AC0026,E007,Aurelius France,EMEA,USD,Union Atlantic,Manual touch only,False,0
P007152,2026-01-01,AC0022,E006,Aurelius Germany,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P007371,2026-01-01,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P007515,2026-01-01,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Manual touch only,False,0
P000172,2026-01-02,AC0012,E003,Aurelius Wellness US,NA,USD,Northbridge Bank,Manual touch only,False,0
P000189,2026-01-02,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P000285,2026-01-02,AC0036,E010,Aurelius Singapore,APAC,SGD,Continental Trust,Neither priority cohort,False,0
P000332,2026-01-02,AC0039,E011,Aurelius Australia,APAC,AUD,Continental Trust,Neither priority cohort,False,0
P000362,2026-01-02,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Manual touch only,False,0
P000379,2026-01-02,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P000402,2026-01-02,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Neither priority cohort,False,0
P000403,2026-01-02,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P000426,2026-01-02,AC0041,E012,Aurelius Japan,APAC,JPY,Continental Trust,Neither priority cohort,False,0
P000676,2026-01-02,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Neither priority cohort,False,0
P000683,2026-01-02,AC0003,E001,Aurelius Group Holdings,NA,USD,Meridian Commercial,Neither priority cohort,False,0
P000700,2026-01-02,AC0050,E015,Aurelius Hong Kong,APAC,HKD,Union Atlantic,Cross-border wire only,False,0
P000815,2026-01-02,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Neither priority cohort,False,0
P000988,2026-01-02,AC0033,E009,Aurelius Spain,EMEA,EUR,Meridian Commercial,Manual touch + cross-border wire,True,50
P001062,2026-01-02,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P001177,2026-01-02,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P001211,2026-01-02,AC0050,E015,Aurelius Hong Kong,APAC,HKD,Union Atlantic,Manual touch only,False,0
P001313,2026-01-02,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Manual touch only,False,0
P001567,2026-01-02,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Manual touch only,False,0
P001623,2026-01-02,AC0031,E009,Aurelius Spain,EMEA,USD,Meridian Commercial,Manual touch only,False,0
P001631,2026-01-02,AC0031,E009,Aurelius Spain,EMEA,USD,Meridian Commercial,Manual touch only,False,0
P001641,2026-01-02,AC0049,E014,Aurelius India,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P001952,2026-01-02,AC0013,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Neither priority cohort,False,0
P001967,2026-01-02,AC0031,E009,Aurelius Spain,EMEA,USD,Meridian Commercial,Manual touch only,False,0
P002380,2026-01-02,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Manual touch only,False,0
P002390,2026-01-02,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Neither priority cohort,False,0
P002530,2026-01-02,AC0030,E008,Aurelius Netherlands,EMEA,USD,Pacific Crown,Neither priority cohort,False,0
P002704,2026-01-02,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Neither priority cohort,False,0
P002730,2026-01-02,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Manual touch only,False,0
P003145,2026-01-02,AC0047,E014,Aurelius India,APAC,INR,Meridian Commercial,Manual touch only,False,0
P003146,2026-01-02,AC0050,E015,Aurelius Hong Kong,APAC,HKD,Union Atlantic,Neither priority cohort,False,0
P003299,2026-01-02,AC0030,E008,Aurelius Netherlands,EMEA,USD,Pacific Crown,Neither priority cohort,False,0
P003323,2026-01-02,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Neither priority cohort,False,0
P003350,2026-01-02,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,False,0
P003532,2026-01-02,AC0050,E015,Aurelius Hong Kong,APAC,HKD,Union Atlantic,Neither priority cohort,False,0
P003755,2026-01-02,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P003851,2026-01-02,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,False,0
P004024,2026-01-02,AC0039,E011,Aurelius Australia,APAC,AUD,Continental Trust,Neither priority cohort,False,0
P004110,2026-01-02,AC0047,E014,Aurelius India,APAC,INR,Meridian Commercial,Neither priority cohort,False,0
P004183,2026-01-02,AC0007,E002,Aurelius Home US,NA,USD,Northbridge Bank,Neither priority cohort,False,0
P004326,2026-01-02,AC0007,E002,Aurelius Home US,NA,USD,Northbridge Bank,Neither priority cohort,False,0
P004552,2026-01-02,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P004852,2026-01-02,AC0030,E008,Aurelius Netherlands,EMEA,USD,Pacific Crown,Neither priority cohort,False,0
P004978,2026-01-02,AC0019,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Neither priority cohort,False,0
P005097,2026-01-02,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,Neither priority cohort,False,0
P005179,2026-01-02,AC0008,E002,Aurelius Home US,NA,USD,Pacific Crown,Manual touch only,False,0
P005747,2026-01-02,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Manual touch only,False,0
P005767,2026-01-02,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Cross-border wire only,False,0
P005833,2026-01-02,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Manual touch only,False,0
P005937,2026-01-02,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Neither priority cohort,False,0
P006039,2026-01-02,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P006112,2026-01-02,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Neither priority cohort,False,0
P006204,2026-01-02,AC0041,E012,Aurelius Japan,APAC,JPY,Continental Trust,Cross-border wire only,False,0
P006346,2026-01-02,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P006422,2026-01-02,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P006633,2026-01-02,AC0042,E012,Aurelius Japan,APAC,USD,Union Atlantic,Neither priority cohort,False,0
P006771,2026-01-02,AC0033,E009,Aurelius Spain,EMEA,EUR,Meridian Commercial,Manual touch only,False,0
P007039,2026-01-02,AC0030,E008,Aurelius Netherlands,EMEA,USD,Pacific Crown,Cross-border wire only,False,0
P007170,2026-01-02,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P007363,2026-01-02,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Manual touch only,False,0
P007423,2026-01-02,AC0027,E007,Aurelius France,EMEA,EUR,Pacific Crown,Neither priority cohort,False,0
P007495,2026-01-02,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,Neither priority cohort,False,0
P000017,2026-01-05,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P000032,2026-01-05,AC0043,E012,Aurelius Japan,APAC,JPY,Union Atlantic,Manual touch only,False,0
P000127,2026-01-05,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P000162,2026-01-05,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Cross-border wire only,False,0
P000245,2026-01-05,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,Neither priority cohort,False,0
P000448,2026-01-05,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Neither priority cohort,False,0
P000537,2026-01-05,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P000724,2026-01-05,AC0001,E001,Aurelius Group Holdings,NA,USD,Union Atlantic,Manual touch only,True,27
P000851,2026-01-05,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P001112,2026-01-05,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Neither priority cohort,False,0
P001331,2026-01-05,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P001398,2026-01-05,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,Neither priority cohort,False,0
P001436,2026-01-05,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P001514,2026-01-05,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,Neither priority cohort,False,0
P001987,2026-01-05,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Neither priority cohort,False,0
P002066,2026-01-05,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,True,16
P002563,2026-01-05,AC0054,E016,Aurelius Global Sourcing,APAC,USD,Northbridge Bank,Neither priority cohort,False,0
P002771,2026-01-05,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Manual touch only,False,0
P002877,2026-01-05,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P002956,2026-01-05,AC0045,E013,Aurelius Korea,APAC,KRW,Pacific Crown,Neither priority cohort,False,0
P003440,2026-01-05,AC0039,E011,Aurelius Australia,APAC,AUD,Continental Trust,Manual touch + cross-border wire,False,0
P003462,2026-01-05,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Manual touch + cross-border wire,False,0
P003491,2026-01-05,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P003507,2026-01-05,AC0001,E001,Aurelius Group Holdings,NA,USD,Union Atlantic,Neither priority cohort,False,0
P003556,2026-01-05,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Manual touch only,False,0
P003599,2026-01-05,AC0045,E013,Aurelius Korea,APAC,KRW,Pacific Crown,Cross-border wire only,False,0
P003926,2026-01-05,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,False,0
P003974,2026-01-05,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P003978,2026-01-05,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P004284,2026-01-05,AC0011,E003,Aurelius Wellness US,NA,USD,Continental Trust,Neither priority cohort,False,0
P004462,2026-01-05,AC0016,E004,Aurelius Canada,NA,CAD,Meridian Commercial,Neither priority cohort,False,0
P004633,2026-01-05,AC0041,E012,Aurelius Japan,APAC,JPY,Continental Trust,Neither priority cohort,False,0
P004664,2026-01-05,AC0047,E014,Aurelius India,APAC,INR,Meridian Commercial,Neither priority cohort,False,0
P004749,2026-01-05,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Manual touch + cross-border wire,False,0
P005150,2026-01-05,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P005180,2026-01-05,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P005207,2026-01-05,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Manual touch only,False,0
P005339,2026-01-05,AC0055,E016,Aurelius Global Sourcing,APAC,USD,Meridian Commercial,Manual touch + cross-border wire,False,0
P005632,2026-01-05,AC0041,E012,Aurelius Japan,APAC,JPY,Continental Trust,Cross-border wire only,False,0
P005649,2026-01-05,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Manual touch only,False,0
P005743,2026-01-05,AC0050,E015,Aurelius Hong Kong,APAC,HKD,Union Atlantic,Neither priority cohort,False,0
P006085,2026-01-05,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,Manual touch only,False,0
P006276,2026-01-05,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P006387,2026-01-05,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P006392,2026-01-05,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P006415,2026-01-05,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P006421,2026-01-05,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Neither priority cohort,False,0
P006458,2026-01-05,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Neither priority cohort,False,0
P006556,2026-01-05,AC0016,E004,Aurelius Canada,NA,CAD,Meridian Commercial,Neither priority cohort,False,0
P006955,2026-01-05,AC0007,E002,Aurelius Home US,NA,USD,Northbridge Bank,Neither priority cohort,False,0
P007037,2026-01-05,AC0047,E014,Aurelius India,APAC,INR,Meridian Commercial,Manual touch only,False,0
P007418,2026-01-05,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Manual touch only,False,0
P007493,2026-01-05,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,False,0
P007583,2026-01-05,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Manual touch only,False,0
P000313,2026-01-06,AC0055,E016,Aurelius Global Sourcing,APAC,USD,Meridian Commercial,Neither priority cohort,False,0
P000419,2026-01-06,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P000469,2026-01-06,AC0055,E016,Aurelius Global Sourcing,APAC,USD,Meridian Commercial,Neither priority cohort,False,0
P000487,2026-01-06,AC0041,E012,Aurelius Japan,APAC,JPY,Continental Trust,Neither priority cohort,False,0
P000596,2026-01-06,AC0031,E009,Aurelius Spain,EMEA,USD,Meridian Commercial,Neither priority cohort,False,0
P000666,2026-01-06,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,False,0
P000839,2026-01-06,AC0018,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Neither priority cohort,False,0
P001273,2026-01-06,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P001294,2026-01-06,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Manual touch only,False,0
P001315,2026-01-06,AC0011,E003,Aurelius Wellness US,NA,USD,Continental Trust,Manual touch only,False,0
P001333,2026-01-06,AC0050,E015,Aurelius Hong Kong,APAC,HKD,Union Atlantic,Neither priority cohort,False,0
P001487,2026-01-06,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P001510,2026-01-06,AC0047,E014,Aurelius India,APAC,INR,Meridian Commercial,Manual touch only,False,0
P001627,2026-01-06,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Neither priority cohort,False,0
P001775,2026-01-06,AC0036,E010,Aurelius Singapore,APAC,SGD,Continental Trust,Neither priority cohort,False,0
P001794,2026-01-06,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P001802,2026-01-06,AC0050,E015,Aurelius Hong Kong,APAC,HKD,Union Atlantic,Manual touch only,False,0
P001819,2026-01-06,AC0048,E014,Aurelius India,APAC,INR,Continental Trust,Manual touch only,False,0
P001905,2026-01-06,AC0033,E009,Aurelius Spain,EMEA,EUR,Meridian Commercial,Manual touch + cross-border wire,False,0
P002142,2026-01-06,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P002302,2026-01-06,AC0047,E014,Aurelius India,APAC,INR,Meridian Commercial,Neither priority cohort,False,0
P002714,2026-01-06,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P002910,2026-01-06,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Manual touch only,False,0
P003000,2026-01-06,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P003178,2026-01-06,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P003469,2026-01-06,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Cross-border wire only,False,0
P003542,2026-01-06,AC0033,E009,Aurelius Spain,EMEA,EUR,Meridian Commercial,Manual touch only,True,18
P003675,2026-01-06,AC0054,E016,Aurelius Global Sourcing,APAC,USD,Northbridge Bank,Manual touch only,False,0
P003716,2026-01-06,AC0019,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Manual touch only,True,58
P003750,2026-01-06,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P003849,2026-01-06,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P003927,2026-01-06,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Neither priority cohort,False,0
P003982,2026-01-06,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Neither priority cohort,False,0
P004046,2026-01-06,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Manual touch only,False,0
P004178,2026-01-06,AC0003,E001,Aurelius Group Holdings,NA,USD,Meridian Commercial,Cross-border wire only,True,50
P004287,2026-01-06,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,Neither priority cohort,False,0
P004380,2026-01-06,AC0040,E011,Aurelius Australia,APAC,AUD,Continental Trust,Manual touch only,False,0
P004635,2026-01-06,AC0019,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Manual touch only,False,0
P004654,2026-01-06,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Manual touch only,False,0
P004885,2026-01-06,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Manual touch only,False,0
P005242,2026-01-06,AC0040,E011,Aurelius Australia,APAC,AUD,Continental Trust,Neither priority cohort,False,0
P005261,2026-01-06,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,Manual touch only,False,0
P005262,2026-01-06,AC0029,E008,Aurelius Netherlands,EMEA,EUR,Continental Trust,Neither priority cohort,False,0
P005276,2026-01-06,AC0052,E015,Aurelius Hong Kong,APAC,HKD,Continental Trust,Neither priority cohort,False,0
P005461,2026-01-06,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Neither priority cohort,False,0
P005592,2026-01-06,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Manual touch + cross-border wire,False,0
P005606,2026-01-06,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,False,0
P005661,2026-01-06,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,Neither priority cohort,False,0
P006014,2026-01-06,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Neither priority cohort,False,0
P006161,2026-01-06,AC0016,E004,Aurelius Canada,NA,CAD,Meridian Commercial,Neither priority cohort,False,0
P006351,2026-01-06,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Manual touch only,False,0
P006411,2026-01-06,AC0012,E003,Aurelius Wellness US,NA,USD,Northbridge Bank,Neither priority cohort,False,0
P006970,2026-01-06,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Manual touch only,False,0
P007056,2026-01-06,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,True,46
P007083,2026-01-06,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Manual touch only,False,0
P007208,2026-01-06,AC0006,E002,Aurelius Home US,NA,USD,Pacific Crown,Neither priority cohort,False,0
P007245,2026-01-06,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P007314,2026-01-06,AC0043,E012,Aurelius Japan,APAC,JPY,Union Atlantic,Manual touch only,False,0
P000034,2026-01-07,AC0026,E007,Aurelius France,EMEA,USD,Union Atlantic,Manual touch only,False,0
P000042,2026-01-07,AC0046,E013,Aurelius Korea,APAC,KRW,Union Atlantic,Manual touch only,False,0
P000157,2026-01-07,AC0033,E009,Aurelius Spain,EMEA,EUR,Meridian Commercial,Cross-border wire only,False,0
P000173,2026-01-07,AC0040,E011,Aurelius Australia,APAC,AUD,Continental Trust,Neither priority cohort,False,0
P000572,2026-01-07,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Manual touch only,False,0
P000790,2026-01-07,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Manual touch only,False,0
P000812,2026-01-07,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,Neither priority cohort,True,49
P000870,2026-01-07,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Neither priority cohort,False,0
P000920,2026-01-07,AC0040,E011,Aurelius Australia,APAC,AUD,Continental Trust,Neither priority cohort,False,0
P001007,2026-01-07,AC0001,E001,Aurelius Group Holdings,NA,USD,Union Atlantic,Manual touch only,False,0
P001088,2026-01-07,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Manual touch only,False,0
P001370,2026-01-07,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Manual touch only,False,0
P001422,2026-01-07,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Manual touch only,False,0
P001593,2026-01-07,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Manual touch only,True,12
P001894,2026-01-07,AC0040,E011,Aurelius Australia,APAC,AUD,Continental Trust,Manual touch only,True,64
P002660,2026-01-07,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Neither priority cohort,False,0
P003059,2026-01-07,AC0016,E004,Aurelius Canada,NA,CAD,Meridian Commercial,Manual touch only,False,0
P003251,2026-01-07,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Neither priority cohort,False,0
