sample_order,case_control_pair_id,pair_sequence_within_cohort,sample_role,source_payment_id,paired_source_payment_id,priority_payment_cohort,issue_case_flag,issue_definition_hits,issue_mode,paired_issue_mode,issue_selection_rank,issue_mode_selection_rank,payment_date,month,account_id,entity_id,entity_name,region,country,bank_name,erp_system,purpose,visibility_method,payment_type,currency,amount_local,usd_per_unit,amount_usd,amount_band_usd,amount_band_order,cross_border_flag,cross_border_wire_flag,manual_touch_flag,exception_flag,late_release_flag,repair_minutes,fee_usd,status,payment_type_match,region_match,month_match,amount_band_match,match_deviation_count,match_deviation_detail,amount_band_distance,month_distance,absolute_amount_gap_usd,match_quality,selection_rule_version,sample_purpose,evidence_label,decision_boundary
13,C1-07,7,Issue case,P002774,P001441,Manual touch only,True,exception_flag; status_repaired,Exception/status,Exception/status,7,7,2026-04-01,2026-04,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,Local transfer,GBP,47606.51,1.29676032,61734.23,>$50k–$100k,4,False,False,True,True,False,72,16.5,Repaired,True,True,True,True,0,none,0,0,5512.42,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
14,C1-07,7,Non-issue control,P001441,P002774,Manual touch only,False,none,Non-issue control,Exception/status,0,0,2026-04-16,2026-04,AC0030,E008,Aurelius Netherlands,EMEA,Netherlands,Pacific Crown,SAP-S4,Payroll,API,Local transfer,USD,67246.65,1.0,67246.65,>$50k–$100k,4,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,5512.42,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
15,C1-08,8,Issue case,P001532,P006427,Manual touch only,True,exception_flag; status_repaired,Exception/status,Exception/status,8,8,2026-02-04,2026-02,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,ACH,USD,21981.1,1.0,21981.1,>$10k–$25k,2,False,False,True,True,False,72,16.5,Repaired,True,True,True,True,0,none,0,0,3089.09,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
16,C1-08,8,Non-issue control,P006427,P001532,Manual touch only,False,none,Non-issue control,Exception/status,0,0,2026-02-20,2026-02,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,ACH,USD,18892.01,1.0,18892.01,>$10k–$25k,2,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,3089.09,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
17,C1-09,9,Issue case,P000636,P002237,Manual touch only,True,late_release_flag,Late-only,Late-only,9,1,2026-05-05,2026-05,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,Payroll,GBP,262583.42,1.31665971,345733.01,>$100k,5,False,False,True,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,212649.9,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
18,C1-09,9,Non-issue control,P002237,P000636,Manual touch only,False,none,Non-issue control,Late-only,0,0,2026-05-04,2026-05,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Payroll,EUR,120059.0,1.1084809,133083.11,>$100k,5,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,212649.9,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
19,C1-10,10,Issue case,P005610,P001206,Manual touch only,True,late_release_flag,Late-only,Late-only,10,2,2026-05-19,2026-05,AC0031,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,Legacy-D365,Operating,Portal,Local transfer,USD,166161.73,1.0,166161.73,>$100k,5,False,False,True,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,105735.1,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
20,C1-10,10,Non-issue control,P001206,P005610,Manual touch only,False,none,Non-issue control,Late-only,0,0,2026-05-12,2026-05,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Local transfer,EUR,246850.18,1.101465,271896.83,>$100k,5,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,105735.1,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
21,C1-11,11,Issue case,P001107,P006967,Manual touch only,True,late_release_flag,Late-only,Late-only,11,3,2026-04-03,2026-04,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,Tax,GBP,101641.07,1.30724466,132869.75,>$100k,5,False,False,True,False,True,0,1.5,Completed,False,True,True,True,1,payment_type,0,0,2260.21,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
22,C1-11,11,Non-issue control,P006967,P001107,Manual touch only,False,none,Non-issue control,Late-only,0,0,2026-04-01,2026-04,AC0031,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,Legacy-D365,Operating,Portal,Local transfer,USD,135129.96,1.0,135129.96,>$100k,5,False,False,True,False,False,0,1.5,Completed,False,True,True,True,1,payment_type,0,0,2260.21,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
23,C1-12,12,Issue case,P005259,P005198,Manual touch only,True,late_release_flag,Late-only,Late-only,12,4,2026-02-13,2026-02,AC0049,E014,Aurelius India,APAC,India,Pacific Crown,Legacy-D365,Payroll,API,Local transfer,USD,119568.33,1.0,119568.33,>$100k,5,False,False,True,False,True,0,1.5,Completed,True,False,True,True,1,region,0,0,514.27,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
24,C1-12,12,Non-issue control,P005198,P005259,Manual touch only,False,none,Non-issue control,Late-only,0,0,2026-02-10,2026-02,AC0013,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Tax,Host-to-host,Local transfer,USD,120082.6,1.0,120082.6,>$100k,5,False,False,True,False,False,0,1.5,Completed,True,False,True,True,1,region,0,0,514.27,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
25,C1-13,13,Issue case,P006654,P006386,Manual touch only,True,late_release_flag,Late-only,Late-only,13,5,2026-01-26,2026-01,AC0002,E001,Aurelius Group Holdings,NA,United States,Pacific Crown,Oracle-E1,Collection,Portal,Payroll,USD,107196.05,1.0,107196.05,>$100k,5,False,False,True,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,46179.45,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
26,C1-13,13,Non-issue control,P006386,P006654,Manual touch only,False,none,Non-issue control,Late-only,0,0,2026-01-01,2026-01,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Payroll,USD,153375.5,1.0,153375.5,>$100k,5,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,46179.45,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
27,C1-14,14,Issue case,P005492,P007353,Manual touch only,True,late_release_flag,Late-only,Late-only,14,6,2026-02-03,2026-02,AC0025,E007,Aurelius France,EMEA,France,Meridian Commercial,SAP-S4,Operating,Spreadsheet,Tax,EUR,95509.1,1.10976073,105992.25,>$100k,5,False,False,True,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,31728.36,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
28,C1-14,14,Non-issue control,P007353,P005492,Manual touch only,False,none,Non-issue control,Late-only,0,0,2026-02-16,2026-02,AC0031,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,Legacy-D365,Operating,Portal,Tax,USD,137720.61,1.0,137720.61,>$100k,5,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,31728.36,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
29,C1-15,15,Issue case,P000890,P000524,Manual touch only,True,late_release_flag,Late-only,Late-only,15,7,2026-06-22,2026-06,AC0031,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,Legacy-D365,Operating,Portal,ACH,USD,101290.42,1.0,101290.42,>$100k,5,False,False,True,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,830.75,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
30,C1-15,15,Non-issue control,P000524,P000890,Manual touch only,False,none,Non-issue control,Late-only,0,0,2026-06-12,2026-06,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,ACH,GBP,75507.29,1.33046319,100459.67,>$100k,5,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,830.75,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
31,C2-01,1,Issue case,P003278,P004575,Manual touch + cross-border wire,True,exception_flag; status_rejected,Exception/status,Exception/status,1,1,2026-04-09,2026-04,AC0025,E007,Aurelius France,EMEA,France,Meridian Commercial,SAP-S4,Operating,Spreadsheet,Wire,EUR,14222.79,1.10449337,15708.98,>$10k–$25k,2,True,True,True,True,False,74,58.5,Rejected,True,True,True,True,0,none,0,0,1573.95,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
32,C2-01,1,Non-issue control,P004575,P003278,Manual touch + cross-border wire,False,none,Non-issue control,Exception/status,0,0,2026-04-02,2026-04,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,EUR,12755.83,1.10812259,14135.02,>$10k–$25k,2,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,1573.95,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
33,C2-02,2,Issue case,P004174,P003443,Manual touch + cross-border wire,True,exception_flag; status_repaired,Exception/status,Exception/status,2,2,2026-02-13,2026-02,AC0044,E013,Aurelius Korea,APAC,South Korea,Northbridge Bank,Legacy-D365,Operating,Host-to-host,Wire,KRW,35130.41,0.0007441,26.14,≤$10k,1,True,True,True,True,False,74,58.5,Repaired,True,True,True,True,0,none,0,0,11.77,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
34,C2-02,2,Non-issue control,P003443,P004174,Manual touch + cross-border wire,False,none,Non-issue control,Exception/status,0,0,2026-02-10,2026-02,AC0041,E012,Aurelius Japan,APAC,Japan,Continental Trust,Legacy-D365,Operating,Host-to-host,Wire,JPY,2111.7,0.00680691,14.37,≤$10k,1,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,11.77,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
35,C2-03,3,Issue case,P006744,P000343,Manual touch + cross-border wire,True,exception_flag; status_repaired,Exception/status,Exception/status,3,3,2026-05-08,2026-05,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,Wire,GBP,16336.14,1.31869036,21542.31,>$10k–$25k,2,True,True,True,True,False,73,58.5,Repaired,True,True,True,True,0,none,0,0,380.2,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
36,C2-03,3,Non-issue control,P000343,P006744,Manual touch + cross-border wire,False,none,Non-issue control,Exception/status,0,0,2026-05-08,2026-05,AC0022,E006,Aurelius Germany,EMEA,Germany,Meridian Commercial,SAP-S4,Collection,Portal,Wire,EUR,19939.42,1.09945566,21922.51,>$10k–$25k,2,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,380.2,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
37,C2-04,4,Issue case,P006626,P006231,Manual touch + cross-border wire,True,exception_flag; status_repaired,Exception/status,Exception/status,4,4,2026-03-11,2026-03,AC0041,E012,Aurelius Japan,APAC,Japan,Continental Trust,Legacy-D365,Operating,Host-to-host,Wire,JPY,53283.29,0.00678189,361.36,≤$10k,1,True,True,True,True,False,72,58.5,Repaired,True,True,True,True,0,none,0,0,208.99,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
38,C2-04,4,Non-issue control,P006231,P006626,Manual touch + cross-border wire,False,none,Non-issue control,Exception/status,0,0,2026-03-26,2026-03,AC0041,E012,Aurelius Japan,APAC,Japan,Continental Trust,Legacy-D365,Operating,Host-to-host,Wire,JPY,22377.92,0.00680906,152.37,≤$10k,1,True,True,True,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,208.99,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
