date,net_closing_usd,gross_positive_closing_usd,gross_negative_closing_usd,net_estimated_available_usd,gross_positive_estimated_available_usd,gross_negative_estimated_available_usd,preliminarily_restricted_positive_available_usd,preliminarily_unflagged_positive_available_usd,delayed_positive_available_usd,evidence_label,decision_boundary
2026-01-25,61578860.95800339,63286512.687066525,-1707651.7290631423,57028871.84754277,58736523.576605916,-1707651.7290631423,8883204.301235732,49853319.27537018,26378669.171291832,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-26,58473460.03938939,60431554.70104157,-1958094.6616521822,54183593.285512745,56141687.94716493,-1958094.6616521822,8406071.785984011,47735616.16118091,24334822.53796798,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-27,60262066.85297594,62446001.215620525,-2183934.3626445853,55894540.275619656,58078474.63826424,-2183934.3626445853,8530358.963960338,49548115.6743039,26775523.075842466,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-28,59377667.6497957,61786612.80285227,-2408945.153056572,55846816.576161176,58255761.72921775,-2408945.153056572,8161132.22020715,50094629.5090106,26175914.489439934,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-29,60341352.30350326,62481702.24848428,-2140349.9449810255,56530597.89816615,58670947.84314717,-2140349.9449810255,8833975.894045124,49836971.94910205,26215674.26465775,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-30,60309778.47936306,62482759.24211713,-2172980.762754066,56081187.58767825,58254168.35043232,-2172980.762754066,9036173.28321675,49217995.06721557,26012632.522990957,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-31,60808239.37669008,62528642.86407338,-1720403.4873832983,56108287.07462384,57828690.56200714,-1720403.4873832983,8842713.581622703,48985976.98038443,24724475.135611992,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-01,60751517.55579312,62714047.84206323,-1962530.2862701071,56723413.29394525,58685943.58021536,-1962530.2862701071,8576296.227699574,50109647.35251579,26352328.633505505,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-02,60242791.0131321,62362436.39509083,-2119645.381958725,56689249.66179963,58808895.04375836,-2119645.381958725,8577893.41564998,50231001.628108375,26331542.713380914,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-03,60281363.33152742,62304267.29505182,-2022903.9635244007,56614187.5063616,58637091.469886,-2022903.9635244007,8643700.342275774,49993391.12761023,26018623.267033566,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-04,59412830.33680768,61646581.23888517,-2233750.9020774895,55696004.275616206,57929755.177693695,-2233750.9020774895,8526619.984264802,49403135.1934289,26762890.529816914,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-05,60997747.995667145,63011991.36444762,-2014243.3687804756,56982017.929857306,58996261.298637785,-2014243.3687804756,8340475.18455471,50655786.114083074,26465722.8016826,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-06,60279873.13152221,62601014.80278932,-2321141.6712671127,56230037.178076036,58551178.84934315,-2321141.6712671127,9076495.525525458,49474683.32381769,25167030.111675408,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-07,60741998.46703728,62872402.74549013,-2130404.2784528467,56235536.56862203,58365940.847074874,-2130404.2784528467,9082633.488127755,49283307.35894712,26367328.313594755,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-08,61446210.00290116,63081757.38630806,-1635547.3834069045,56977645.59066706,58613192.97407396,-1635547.3834069045,8651116.87573209,49962076.098341875,25378110.58292772,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-09,60965935.97885902,62806463.351332545,-1840527.372473521,56658485.82654019,58499013.19901371,-1840527.372473521,8641480.498110821,49857532.70090289,25860818.253188264,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-10,60860153.959703766,62966044.97717905,-2105891.0174752907,56622316.14814564,58728207.16562093,-2105891.0174752907,8489219.267196402,50238987.89842453,27094344.58519228,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-11,58949278.835369766,61185781.67281949,-2236502.8374497243,54999885.8180174,57236388.65546712,-2236502.8374497243,8448609.904211866,48787778.75125526,25697895.94868884,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-12,60047400.403041035,62024535.67898686,-1977135.2759458276,56745562.426890634,58722697.70283646,-1977135.2759458276,8370372.850804445,50352324.85203202,26486026.69954814,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-13,59521473.8343885,61602411.57113694,-2080937.7367484313,55446303.39092197,57527241.12767041,-2080937.7367484313,8666679.669223003,48860561.458447404,25848503.23228239,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-14,59237181.206012934,61198313.711933896,-1961132.5059209631,55096461.55828377,57057594.06420474,-1961132.5059209631,8717626.346804129,48339967.7174006,25177036.05273708,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-15,59739181.72681482,61605084.610631555,-1865902.8838167354,56100858.854655586,57966761.73847232,-1865902.8838167354,8843809.123002741,49122952.61546958,25717984.097481374,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-16,60321365.88495154,62155312.89150597,-1833947.006554432,56811458.261365704,58645405.26792014,-1833947.006554432,8604026.73383641,50041378.534083724,25818464.41542894,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-17,60579753.29354461,62891915.60931993,-2312162.3157753227,56021425.471121304,58333587.78689662,-2312162.3157753227,8457902.166029047,49875685.62086758,27341657.26573943,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-18,59043980.07165736,61438242.31999628,-2394262.24833893,54888131.49812652,57282393.74646545,-2394262.24833893,8066021.427149566,49216372.31931589,25209023.280606035,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-19,60078229.79213445,62426263.70672966,-2348033.9145952086,55802731.86100034,58150765.775595546,-2348033.9145952086,8668694.117113292,49482071.65848225,26478489.057928786,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-20,61782473.027976155,63945845.887910485,-2163372.8599343263,58541436.37763349,60704809.23756782,-2163372.8599343263,8903678.897569237,51801130.33999858,28918491.377756298,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-21,62019801.645213455,64009418.05033409,-1989616.4051206368,58581354.938432775,60570971.34355341,-1989616.4051206368,9073903.750886707,51497067.5926667,27927745.2106604,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-22,61346530.1611294,63147832.5893204,-1801302.4281909931,57638023.33848183,59439325.76667282,-1801302.4281909931,8883217.287259104,50556108.47941372,26883508.44448956,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-23,62440201.416570626,64355949.64844246,-1915748.2318718378,59034919.254958756,60950667.48683059,-1915748.2318718378,8742847.210031902,52207820.27679869,27324934.197370987,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-24,58560334.91795767,60662305.34251009,-2101970.4245524174,54868126.49669125,56970096.92124367,-2101970.4245524174,8271546.3628493985,48698550.55839427,25595572.00866763,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-25,57337903.12941642,59884241.97519766,-2546338.8457812318,53768465.793145224,56314804.63892646,-2546338.8457812318,8332480.129498536,47982324.50942793,25176381.531992376,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-26,59447169.31871798,61820691.835925475,-2373522.5172074945,55059267.987206124,57432790.50441362,-2373522.5172074945,8748934.825211067,48683855.67920255,26154108.728728358,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-27,60385596.50526731,62500236.73102041,-2114640.225753108,56454444.315999806,58569084.54175291,-2114640.225753108,9158095.769258332,49410988.77249458,26780253.674104743,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-02-28,62868639.59297931,64691295.59239061,-1822655.9994112998,59229250.46276485,61051906.46217615,-1822655.9994112998,9502107.112087082,51549799.35008907,26828974.341775842,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-01,61517350.55764321,63428299.075745456,-1910948.5181022463,57257117.10226348,59168065.62036573,-1910948.5181022463,8658927.545356678,50509138.075009055,25859732.717185814,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-02,62133389.41387661,64047648.77104143,-1914259.3571648225,57760395.32715107,59674654.68431589,-1914259.3571648225,8699988.99820048,50974665.686115414,26469148.688309196,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-03,60442861.23216275,62679361.84389754,-2236500.6117347847,55497001.45901678,57733502.070751555,-2236500.6117347847,8354223.51023705,49379278.56051451,26639888.771648355,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-04,57772834.06910999,60115241.78920301,-2342407.7200930174,53621467.47497489,55963875.19506791,-2342407.7200930174,8383127.371530843,47580747.82353707,24991108.01617577,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-05,58294423.17921264,60635885.64453746,-2341462.46532482,54721510.73507961,57062973.20040443,-2341462.46532482,8811388.740618644,48251584.45978578,25957200.253371898,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-06,59546251.078415625,61553011.92072373,-2006760.8423081022,55516828.82387755,57523589.66618565,-2006760.8423081022,9266131.289497647,48257458.376688,25694256.99535958,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-07,59565280.76846221,61432206.954751395,-1866926.186289184,54638456.82690829,56505383.013197474,-1866926.186289184,8537435.8494468,47967947.16375067,24750852.849354524,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-08,61471458.40479484,63395544.692016944,-1924086.2872221055,57193357.333629966,59117443.62085207,-1924086.2872221055,8864947.071114672,50252496.549737394,26656183.1206004,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-09,59352103.09469433,61313848.066898584,-1961744.9722042482,54968556.20277675,56930301.174981,-1961744.9722042482,8408445.6344653,48521855.5405157,24624530.90599489,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-10,58262751.836081736,60436835.21296965,-2174083.376887914,54956518.71773949,57130602.09462741,-2174083.376887914,7992183.436621297,49138418.65800611,24835872.310510546,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-11,58798657.143531494,61217437.34836334,-2418780.2048318507,55221386.41335705,57640166.6181889,-2418780.2048318507,8433855.590823535,49206311.027365364,26259928.205686547,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-12,60672277.45113513,62553406.28241466,-1881128.8312795316,56537445.48975251,58418574.32103204,-1881128.8312795316,8529969.250593746,49888605.070438296,26836878.460410703,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-13,60163958.254888855,62099119.13663064,-1935160.88174179,55881869.07585109,57817029.95759288,-1935160.88174179,9000204.50113089,48816825.45646199,26319801.787287556,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-14,62571841.53019511,64577771.49151138,-2005929.961316273,58850785.25183711,60856715.213153385,-2005929.961316273,8935572.701095346,51921142.51205804,26848903.462568097,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-15,59905992.929669224,61593688.579761066,-1687695.6500918404,56149245.05038294,57836940.70047478,-1687695.6500918404,8660738.937392402,49176201.76308238,26372481.00651215,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-16,59289626.286310405,61158031.83421798,-1868405.5479075818,55198186.445407666,57066591.99331525,-1868405.5479075818,8424326.760436324,48642265.23287893,25280695.8426562,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-17,60984877.91280284,63025399.53947507,-2040521.6266722311,56356649.785411716,58397171.412083946,-2040521.6266722311,8062215.577065947,50334955.835017994,25858803.41430207,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-18,59930159.08820198,62272383.07972739,-2342223.991525412,55341624.3627873,57683848.35431271,-2342223.991525412,8003971.329042887,49679877.02526982,26278009.498916656,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-19,60041334.67649567,62287664.91891531,-2246330.2424196377,55808217.17426751,58054547.416687146,-2246330.2424196377,8706486.300085014,49348061.11660214,26151447.980320323,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-20,63118368.083197966,65036452.25215792,-1918084.168959957,58206111.1305622,60124195.29952216,-1918084.168959957,9221199.105161153,50902996.194361,27768830.29283892,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-21,61839268.766243175,63847254.68757251,-2007985.9213293376,56577451.8248024,58585437.74613174,-2007985.9213293376,8836667.213991765,49748770.53213997,26931052.759910826,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-22,60613875.23059522,62322735.36565056,-1708860.1350553299,56542509.13263218,58251369.267687514,-1708860.1350553299,8967408.047265554,49283961.220421955,26460342.54139701,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-23,60247522.582584254,62204279.14028689,-1956756.5577026405,55996301.07617985,57953057.63388249,-1956756.5577026405,8617622.55846654,49335435.07541595,26032901.628319655,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-24,57423475.25561157,59686905.90106626,-2263430.645454688,53547503.884248,55810934.52970269,-2263430.645454688,8383184.057116152,47427750.47258654,24913329.03076822,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-25,58937319.98436591,61241787.23285994,-2304467.24849403,55132990.76504952,57437458.013543546,-2304467.24849403,8163881.351691412,49273576.66185213,26186277.06076126,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-26,60046499.67797698,62327179.06586126,-2280679.38788428,56203472.3115474,58484151.69943168,-2280679.38788428,8800551.323545167,49683600.37588651,25699393.893536564,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-27,61194508.86901594,63311269.974225216,-2116761.1052092793,56596072.16863339,58712833.27384267,-2116761.1052092793,8986304.743363325,49726528.53047934,26445628.612673134,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-28,63050428.89768882,64620843.19467728,-1570414.2969884553,59373140.55137888,60943554.84836734,-1570414.2969884553,9224529.784151018,51719025.06421632,26459226.939105697,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-29,60107739.49174121,62087382.35617892,-1979642.8644377035,55892090.16353132,57871733.027969025,-1979642.8644377035,8639540.318543686,49232192.70942534,25316958.300231863,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-30,58023609.672859065,59945671.04796337,-1922061.3751043067,54235512.28142988,56157573.65653419,-1922061.3751043067,8533525.498317465,47624048.15821672,25093748.559938185,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-03-31,58300398.48832155,60405890.85105825,-2105492.3627367015,53781892.43203021,55887384.79476691,-2105492.3627367015,8086864.726414596,47800520.06835231,25091718.239906173,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-01,57465525.285020635,59591303.98634151,-2125778.7013208764,53573589.756533265,55699368.45785414,-2125778.7013208764,8261745.34793921,47437623.10991493,24756273.713792834,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-02,63012862.19717417,65166553.0630869,-2153690.865912729,59421933.89624296,61575624.76215569,-2153690.865912729,8777426.63157208,52798198.13058361,28025867.335862577,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-03,62370174.29775634,64640064.51019583,-2269890.2124395,58154563.952453114,60424454.164892614,-2269890.2124395,8988324.752374105,51436129.41251851,27547451.750992004,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-04,60793520.2731024,62514023.28297352,-1720503.0098711173,57010204.620488174,58730707.63035929,-1720503.0098711173,9053632.613131106,49677075.017228186,26477615.70068609,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-05,61155804.222313836,63157909.30420419,-2002105.0818903474,56750969.65216325,58753074.734053604,-2002105.0818903474,8718423.612606138,50034651.12144747,26181897.80365171,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-06,58718416.87170599,60621380.4198983,-1902963.5481923083,54519231.86360099,56422195.4117933,-1902963.5481923083,8414011.542810982,48008183.868982315,24733922.71668651,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-07,58679079.91391712,60869820.962200835,-2190741.0482837153,54396793.472528875,56587534.52081259,-2190741.0482837153,7927418.943707237,48660115.57710536,25622039.725705955,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-08,57786662.99943152,60108154.86423819,-2321491.8648066707,54032795.793483794,56354287.65829046,-2321491.8648066707,8278872.2280825535,48075415.43020791,24720524.423306104,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-09,59317417.552032,61581294.05901612,-2263876.50698412,55494688.144134015,57758564.65111813,-2263876.50698412,8852006.013506783,48906558.637611344,25509927.001870446,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-10,60856088.106653824,63043828.02423279,-2187739.917578971,55658247.13866924,57845987.05624821,-2187739.917578971,8906508.90600546,48939478.150242746,25686685.738249652,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-11,61590646.578459345,63657873.820804246,-2067227.242344897,57411795.258993134,59479022.50133803,-2067227.242344897,9007296.569277504,50471725.932060525,26355121.98309722,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-12,60840436.80191924,62715005.14732306,-1874568.3454038198,56556798.124555215,58431366.469959036,-1874568.3454038198,8591600.855884489,49839765.61407454,26199109.744876195,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-13,59668256.4732747,61754272.28559689,-2086015.8123221905,55021542.68204424,57107558.49436643,-2086015.8123221905,8300664.4881097,48806894.00625673,25738767.066670623,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-14,58220267.064877704,60305837.94022747,-2085570.875349771,53498633.527680695,55584204.40303047,-2085570.875349771,8246155.601073908,47338048.801956564,24581777.970875356,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-15,57487604.120346226,59849877.50165716,-2362273.381310934,54200304.07786698,56562577.45917792,-2362273.381310934,8508118.870451912,48054458.58872601,25441563.183064796,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-16,58555515.0754292,60639007.87813955,-2083492.8027103457,54966877.20524125,57050370.00795159,-2083492.8027103457,8464792.604827236,48585577.403124355,25884524.167005442,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-17,60730440.37191023,62651110.188241735,-1920669.816331504,56090164.077413,58010833.893744506,-1920669.816331504,9173691.368826369,48837142.52491814,26083622.15367475,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-18,60428507.61427702,62387696.08372613,-1959188.4694491099,56927355.642577805,58886544.112026915,-1959188.4694491099,9053556.518548194,49832987.593478724,27563710.002910763,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-19,62161048.49795141,63745198.16887346,-1584149.6709220475,58736196.26094221,60320345.93186426,-1584149.6709220475,8467906.77991472,51852439.15194954,26990633.183971234,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-20,57901743.90645184,59858169.98136911,-1956426.0749172657,53506610.29071111,55463036.36562838,-1956426.0749172657,8400936.787725713,47062099.57790267,24457248.536860175,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-21,57028205.23359061,59408851.11301013,-2380645.8794195205,53673008.74013804,56053654.61955756,-2380645.8794195205,8574662.546823239,47478992.07273432,24792309.545544803,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-22,60440392.072724886,62702152.57326502,-2261760.5005401336,56929558.694460735,59191319.19500087,-2261760.5005401336,8504089.309403896,50687229.885596976,26370554.445607927,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-23,61373056.20256825,63422677.265660174,-2049621.0630919258,57123281.39224095,59172902.455332875,-2049621.0630919258,9194483.34740223,49978419.107930645,26041467.60032698,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-24,59518486.59876152,61647966.49960609,-2129479.900844563,55508842.406112626,57638322.30695719,-2129479.900844563,8703881.411973936,48934440.894983254,25665662.090274077,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-25,61106552.407131664,63161599.83517495,-2055047.4280432845,57126112.49778415,59181159.925827436,-2055047.4280432845,8976737.895976001,50204422.02985144,27013176.04834018,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-26,59779405.96686588,61458259.72737991,-1678853.7605140305,56674618.8525612,58353472.613075234,-1678853.7605140305,8643501.216303172,49709971.39677206,25440188.40168783,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-27,57687959.13061452,59638967.92512366,-1951008.7945091387,53978609.48584179,55929618.28035093,-1951008.7945091387,8114362.539318743,47815255.74103218,25177863.042409457,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-28,57120844.044679664,59149389.127591126,-2028545.082911464,52895557.42862655,54924102.51153802,-2028545.082911464,8448899.4043708,46475203.10716722,24333761.140004177,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-29,59891988.701451674,62250551.2805929,-2358562.579141224,55898610.717609234,58257173.296750456,-2358562.579141224,8506951.69845487,49750221.598295584,25823768.81586329,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-04-30,60241792.11569338,62637874.42442562,-2396082.3087322344,56417291.0637494,58813373.37248164,-2396082.3087322344,8625961.864449257,50187411.50803238,26008791.688583117,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-05-01,61617821.698642984,63605444.69150198,-1987622.9928589943,57106653.304860905,59094276.297719896,-1987622.9928589943,8951574.240432011,50142702.05728789,27028558.13910125,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
