dimension,category,dimension_population,records,represented_accounts,record_share_of_extract_pct,gross_supplied_record_value_usd,value_share_of_extract_pct,manual_touch_records,manual_touch_rate_pct,exception_records,exception_rate_pct,exception_contribution_pct,exception_record_value_usd,exception_value_contribution_pct,late_release_records,late_release_rate_pct,late_release_contribution_pct,rejected_records,rejection_rate_pct,pending_records,pending_rate_pct,repair_minutes,repair_contribution_pct,estimated_fees_usd,fee_contribution_pct,cross_border_records,cross_border_rate_pct,evidence_label,decision_boundary
status,Pending,"All 7,600 supplied records",17,10,0.22,1551397.06,0.78,5,29.41,0,0.0,0.0,0.0,0.0,2,11.76,0.53,0,0.0,17,100.0,0,0.0,85.5,0.14,1,5.88,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
month,2026-01,"All 7,600 supplied records",1276,51,16.79,30637850.03,15.46,407,31.9,91,7.13,19.0,2692267.1,21.58,63,4.94,16.58,12,0.94,3,0.24,3868,19.26,10239.0,16.35,125,9.8,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
month,2026-02,"All 7,600 supplied records",1173,51,15.43,34024602.54,17.17,378,32.23,74,6.31,15.45,2580480.21,20.68,62,5.29,16.32,5,0.43,5,0.43,2807,13.98,9961.5,15.91,132,11.25,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
month,2026-03,"All 7,600 supplied records",1311,51,17.25,32766062.98,16.54,400,30.51,83,6.33,17.33,2734842.61,21.92,65,4.96,17.11,8,0.61,2,0.15,3655,18.2,11587.5,18.51,151,11.52,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
month,2026-04,"All 7,600 supplied records",1280,51,16.84,37023533.31,18.69,401,31.33,87,6.8,18.16,2003778.59,16.06,64,5.0,16.84,11,0.86,2,0.16,3697,18.41,10131.0,16.18,128,10.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
month,2026-05,"All 7,600 supplied records",1239,51,16.3,30507067.02,15.4,412,33.25,80,6.46,16.7,1553739.76,12.45,62,5.0,16.32,12,0.97,2,0.16,3437,17.12,10576.5,16.89,128,10.33,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
month,2026-06,"All 7,600 supplied records",1321,51,17.38,33176373.63,16.74,397,30.05,64,4.84,13.36,912963.12,7.32,64,4.84,16.84,6,0.45,3,0.23,2616,13.03,10117.5,16.16,122,9.24,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
amount_band_usd,≤$10k,"All 7,600 supplied records",4065,51,53.49,13368619.89,6.75,1299,31.96,248,6.1,51.77,860362.93,6.89,200,4.92,52.63,30,0.74,7,0.17,10732,53.45,36313.5,58.0,471,11.59,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
amount_band_usd,>$10k–$25k,"All 7,600 supplied records",1630,45,21.45,26244291.64,13.25,513,31.47,122,7.48,25.47,1935423.74,15.51,96,5.89,25.26,14,0.86,2,0.12,5135,25.57,13659.0,21.81,166,10.18,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
amount_band_usd,>$50k–$100k,"All 7,600 supplied records",569,39,7.49,39533512.88,19.95,188,33.04,32,5.62,6.68,2214643.31,17.75,25,4.39,6.58,1,0.18,2,0.35,1054,5.25,4087.5,6.53,48,8.44,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
amount_band_usd,>$25k–$50k,"All 7,600 supplied records",938,44,12.34,33126072.58,16.72,285,30.38,57,6.08,11.9,2006874.59,16.08,40,4.26,10.53,6,0.64,2,0.21,2413,12.02,6540.0,10.45,80,8.53,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
amount_band_usd,>$100k,"All 7,600 supplied records",398,41,5.24,85862992.52,43.34,110,27.64,20,5.03,4.18,5460766.8,43.76,19,4.77,5.0,3,0.75,4,1.01,746,3.72,2013.0,3.21,21,5.28,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
priority_payment_cohort,Neither priority cohort,"All 7,600 supplied records; four mutually exclusive cohorts",4761,51,62.64,131429555.87,66.33,0,0.0,123,2.58,25.68,3611556.82,28.94,118,2.48,31.05,17,0.36,12,0.25,5141,25.6,16582.5,26.48,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
priority_payment_cohort,Cross-border wire only,"All 7,600 supplied records; four mutually exclusive cohorts",444,49,5.84,7875503.53,3.97,0,0.0,52,11.71,10.86,1006290.41,8.06,35,7.88,9.21,3,0.68,0,0.0,2219,11.05,20094.0,32.09,444,100.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
priority_payment_cohort,Manual touch only,"All 7,600 supplied records; four mutually exclusive cohorts",2053,51,27.01,51983738.28,26.24,2053,100.0,246,11.98,51.36,6399600.24,51.29,193,9.4,50.79,25,1.22,4,0.19,10018,49.89,10189.5,16.27,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
priority_payment_cohort,Manual touch + cross-border wire,"All 7,600 supplied records; four mutually exclusive cohorts",342,48,4.5,6846691.83,3.46,342,100.0,58,16.96,12.11,1460623.91,11.71,34,9.94,8.95,9,2.63,1,0.29,2702,13.46,15747.0,25.15,342,100.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
priority_union,Outside priority union,"All 7,600 supplied records; priority cohorts deduplicated",4761,51,62.64,131429555.87,66.33,0,0.0,123,2.58,25.68,3611556.82,28.94,118,2.48,31.05,17,0.36,12,0.25,5141,25.6,16582.5,26.48,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
priority_union,Manual touch or cross-border wire,"All 7,600 supplied records; priority cohorts deduplicated",2839,51,37.36,66705933.64,33.67,2395,84.36,356,12.54,74.32,8866514.56,71.06,262,9.23,68.95,37,1.3,5,0.18,14939,74.4,46030.5,73.52,786,27.69,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
wire_geography,Cross-border wire,"1,398 supplied wire records",786,50,10.34,14722195.36,7.43,342,43.51,110,13.99,22.96,2466914.32,19.77,69,8.78,18.16,12,1.53,1,0.13,4921,24.51,35841.0,57.24,786,100.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
wire_geography,Domestic wire,"1,398 supplied wire records",612,51,8.05,10286832.07,5.19,190,31.05,27,4.41,5.64,507798.73,4.07,30,4.9,7.89,4,0.65,1,0.16,1153,5.74,12339.0,19.71,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
