scenario_date,account_id,entity_id,entity_name,region,country,currency,purpose,restricted_flag,reporting_delay_days,closing_balance_usd,available_balance_usd,positive_available_usd,supplied_payment_buffer_7d_usd,scenario_surplus_after_7d_buffer_usd,supplied_payment_buffer_14d_usd,scenario_surplus_after_14d_buffer_usd,evidence_label,decision_boundary
2026-06-30,AC0025,E007,Aurelius France,EMEA,France,EUR,Operating,False,2,-1251281.1461162264,-1251281.1461162264,0.0,276196.78074915113,0.0,506222.2437721255,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0026,E007,Aurelius France,EMEA,France,USD,Collection,False,1,792617.86,762847.36,762847.36,372985.85,389861.51,422827.37,340019.99,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0027,E007,Aurelius France,EMEA,France,EUR,Payroll,True,0,377040.04346900404,370325.1154437162,370325.1154437162,0.0,0.0,77365.1483983295,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0028,E008,Aurelius Netherlands,EMEA,Netherlands,EUR,Operating,False,0,2880072.2226826465,2618662.564458734,2618662.564458734,432019.2774800789,2186643.286978655,1021147.5990837468,1597514.965374987,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0029,E008,Aurelius Netherlands,EMEA,Netherlands,EUR,Collection,False,0,2970311.2621767027,2664768.2552699754,2664768.2552699754,2992.0508608329,2661776.2044091425,51621.3341042155,2613146.9211657597,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0030,E008,Aurelius Netherlands,EMEA,Netherlands,USD,Payroll,True,0,582262.25,567710.54,567710.54,86126.38,0.0,136758.5,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0031,E009,Aurelius Spain,EMEA,Spain,USD,Operating,False,1,2458791.34,2333677.35,2333677.35,264635.27,2069042.08,732063.63,1601613.7200000002,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0032,E009,Aurelius Spain,EMEA,Spain,EUR,Collection,False,0,1111997.2679797988,1057834.755886407,1057834.755886407,55682.0302026546,1002152.7256837524,113254.21284392149,944580.5430424856,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0033,E009,Aurelius Spain,EMEA,Spain,EUR,Payroll,True,2,566222.1877412946,529852.3881152794,529852.3881152794,23266.3520472967,0.0,96901.5059615692,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0034,E010,Aurelius Singapore,APAC,Singapore,USD,Operating,False,2,-887011.95,-887011.95,0.0,445265.94,0.0,754428.37,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0035,E010,Aurelius Singapore,APAC,Singapore,SGD,Collection,False,0,986654.4365645711,949036.7694589691,949036.7694589691,0.0,949036.7694589691,23534.6812955426,925502.0881634265,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0036,E010,Aurelius Singapore,APAC,Singapore,SGD,Payroll,True,0,256548.12773031692,235704.16726234328,235704.16726234328,58755.555931761,0.0,237981.59493202038,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0037,E010,Aurelius Singapore,APAC,Singapore,SGD,Legacy,False,0,6414.074775262599,5825.8699514336,5825.8699514336,0.0,5825.8699514336,0.0,5825.8699514336,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0038,E011,Aurelius Australia,APAC,Australia,USD,Operating,False,0,5559192.62,5010592.13,5010592.13,352567.29,4658024.84,477284.94,4533307.1899999995,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0039,E011,Aurelius Australia,APAC,Australia,AUD,Collection,False,0,1732850.738220467,1574689.7032263686,1574689.7032263686,15434.121133267401,1559255.5820931012,29250.1630887982,1545439.5401375704,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0040,E011,Aurelius Australia,APAC,Australia,AUD,Payroll,True,3,607553.8079236305,571558.8113266785,571558.8113266785,77552.23688724301,0.0,139256.4203086946,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0041,E012,Aurelius Japan,APAC,Japan,JPY,Operating,False,0,6019.3116869192,5460.3104283686,5460.3104283686,2539.6562625048,2920.6541658638,5993.895801106,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0042,E012,Aurelius Japan,APAC,Japan,USD,Collection,False,0,574201.95,517671.21,517671.21,0.0,517671.21,10528.7,507142.51,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0043,E012,Aurelius Japan,APAC,Japan,JPY,Payroll,True,1,3503.7226483416002,3089.261398786,3089.261398786,22.9475128556,0.0,1148.9482495178,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0044,E013,Aurelius Korea,APAC,South Korea,KRW,Operating,False,0,1790.3398695137998,1687.6602501132,1687.6602501132,311.5351632128,1376.1250869004,484.7437365549,1202.9165135582998,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0045,E013,Aurelius Korea,APAC,South Korea,KRW,Collection,False,2,1023.3871985172,1010.215061834,1010.215061834,0.0,1010.215061834,66.2394224115,943.9756394225001,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0046,E013,Aurelius Korea,APAC,South Korea,KRW,Payroll,True,2,365.7090793994,334.8324556918,334.8324556918,12.8298206542,0.0,61.69427830670001,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0047,E014,Aurelius India,APAC,India,INR,Operating,True,2,19442.677218676003,18026.07544154,18026.07544154,3383.6269911407,0.0,8599.6618620423,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0048,E014,Aurelius India,APAC,India,INR,Collection,True,2,16208.748090136,15462.921063660002,15462.921063660002,226.6557041484,0.0,1104.490192756,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0049,E014,Aurelius India,APAC,India,USD,Payroll,True,0,466751.1,425777.03,425777.03,37436.29,0.0,37436.29,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0050,E015,Aurelius Hong Kong,APAC,Hong Kong,HKD,Operating,False,1,270744.9569878404,238623.85166916664,238623.85166916664,52957.99347490811,185665.85819425853,128380.60387693561,110243.24779223104,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0051,E015,Aurelius Hong Kong,APAC,Hong Kong,HKD,Collection,False,0,85394.7417588642,75982.3501720842,75982.3501720842,2278.3783366215,73703.9718354627,6152.9233649487,69829.4268071355,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0052,E015,Aurelius Hong Kong,APAC,Hong Kong,HKD,Payroll,True,0,37799.1115282638,35492.303621806204,35492.303621806204,4138.4070836614,0.0,7392.9315595522,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0053,E016,Aurelius Global Sourcing,APAC,Singapore,USD,Operating,False,0,1319989.63,1176652.77,1176652.77,649373.16,527279.61,1261924.81,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0054,E016,Aurelius Global Sourcing,APAC,Singapore,USD,Collection,False,0,1371830.46,1280067.04,1280067.04,38294.020000000004,1241773.02,38294.020000000004,1241773.02,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0055,E016,Aurelius Global Sourcing,APAC,Singapore,USD,Payroll,True,0,384851.93,341037.85,341037.85,31474.879999999997,0.0,100652.38,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
