option_order,option_id,option_name,criterion_order,criterion_id,criterion,criterion_definition,principles,locked_weight_pct,score_1_to_5,score_rationale,evidence_anchor,evidence_confidence,evidence_label,weight_lock_version,evidence_boundary,hard_gate_result,weighted_points_0_to_100
2,federated_coordination,Federated coordination,4,local_adaptability,Local adaptability,"Ability to preserve documented regulatory, tax, settlement, service, and emergency rights across regions.",DP-02; DP-03; DP-06,15,5,"Sets enterprise standards while preserving approved regional execution, exceptions, and emergency authority.","DP-03 resolves global consistency versus local regulatory, tax, and service requirements.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,15.0
2,federated_coordination,Federated coordination,5,data_technology_scalability,Scalability and integration,"Ability to create reusable data/control interfaces across three ERP environments, acquisitions, and a retiring legacy platform.",DP-01; DP-07; DP-08,10,4,Creates reusable interfaces and lineage across current ERPs without deep investment in the retiring platform.,"DP-07 and DP-08 require metric lineage, modular integration, and explicit exit paths.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,8.0
2,federated_coordination,Federated coordination,6,value_economics,Future value,"Potential to create and later validate cash, P&L, capacity, and risk value separately; not a current benefit, ROI, or funded-value amount.",DP-02; DP-04; DP-07,10,4,Creates the strongest staged path to validate value owners and baselines without recognizing uncertified benefits.,"F08, F10, and F11 keep funded mobility, capacity, and fee value at zero until certification.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,8.0
2,federated_coordination,Federated coordination,7,reversibility_learning,Reversibility and learning,"Ability to learn through bounded tests, retain exit paths, and reverse a later production change within the approved service standard.",DP-04; DP-06; DP-08,5,4,"Bounded source and payment tests can generate shared learning before scale, with more coordination than local stabilization requires.","DP-04, DP-06, and DP-08 require bounded pilots, four compliant weeks, and rollback.",High,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,4.0
3,globally_coordinated,Globally coordinated,1,evidence_fit,Evidence fit,How directly the option resolves the five Week 2 findings and creates controlled decision evidence without assuming a cause.,DP-01; DP-02; DP-04; DP-07,20,3,"Addresses enterprise coordination comprehensively, but goes beyond the ambition proven necessary by current evidence.","Week 2 supports targeted intervention and option design, not a broad technology or centralization mandate.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,12.0
3,globally_coordinated,Globally coordinated,2,control_resilience,"Control, service, and resilience","Ability to preserve control integrity, service continuity, local emergency execution, resilience, and auditable rollback.",DP-03; DP-05; DP-06,20,3,"Could standardize controls but concentrates operational, cyber, access, and resilience failure risk.","Audit and CIO evidence requires explicit SoD, access, resilience, emergency procedures, and rollback.",Low,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,12.0
3,globally_coordinated,Globally coordinated,3,feasibility_speed,"Feasibility, speed, and affordability","Practicality of demonstrating controlled progress within 12 months, working around current ERPs, and fitting the CFO's $1.0–$1.5m FY2026 initial transformation envelope.",DP-01; DP-04; DP-08,20,2,"Requires the greatest governance, architecture, integration, and change effort and is least likely to fit the uncosted initial envelope.","No ERP replacement, a retiring legacy ERP, peak protection, and Inject 3's $1.0–$1.5m envelope constrain delivery.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,8.0
3,globally_coordinated,Globally coordinated,4,local_adaptability,Local adaptability,"Ability to preserve documented regulatory, tax, settlement, service, and emergency rights across regions.",DP-02; DP-03; DP-06,15,2,"Creates the highest risk of applying global assumptions before local legal, tax, settlement, and service rules are certified.",APAC and BU Finance evidence rejects centralization that weakens local response or critical service.,Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,6.0
3,globally_coordinated,Globally coordinated,5,data_technology_scalability,Scalability and integration,"Ability to create reusable data/control interfaces across three ERP environments, acquisitions, and a retiring legacy platform.",DP-01; DP-07; DP-08,10,5,Offers the strongest long-run enterprise standardization and acquisition scalability if architecture gates clear.,"DP-08 favors reusable integration, but does not authorize a platform or irreversible rollout.",Low,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,10.0
3,globally_coordinated,Globally coordinated,6,value_economics,Future value,"Potential to create and later validate cash, P&L, capacity, and risk value separately; not a current benefit, ROI, or funded-value amount.",DP-02; DP-04; DP-07,10,5,"Offers the highest future enterprise value reach, but current costs and benefit lines remain uncertified and cannot support funding now.","F08, F10, and F11 plus open implementation-cost evidence prevent a funded economics claim.",Low,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,10.0
3,globally_coordinated,Globally coordinated,7,reversibility_learning,Reversibility and learning,"Ability to learn through bounded tests, retain exit paths, and reverse a later production change within the approved service standard.",DP-04; DP-06; DP-08,5,2,Greater centralization and integration create higher switching cost and a less reversible learning path.,"DP-06 and DP-08 require bounded change, legacy transition, scale gates, and exit paths.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,2.0
