account_id,entity_id,entity_name,region,country,purpose,status,visibility_method,restricted_flag,sweep_structure,observed_days,negative_position_days,positive_position_days,longest_negative_run_days,average_available_usd,minimum_available_usd,maximum_available_usd,persistent_deficit_flag,evidence_label,decision_boundary
AC0011,E003,Aurelius Wellness US,NA,United States,Collection,Active,API,False,None,181,0,181,0,1991497.9,1378451.3,2604175.04,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0012,E003,Aurelius Wellness US,NA,United States,Payroll,Active,Host-to-host,True,None,181,0,181,0,710400.45,545040.81,921939.41,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0013,E003,Aurelius Wellness US,NA,United States,Tax,Active,Host-to-host,True,None,181,0,181,0,692845.28,490789.91,895030.41,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0014,E004,Aurelius Canada,NA,Canada,Operating,Active,API,False,Domestic sweep,181,0,181,0,730314.32,472327.81,1021940.01,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0015,E004,Aurelius Canada,NA,Canada,Collection,Active,Spreadsheet,False,None,181,0,181,0,1102911.79,736228.09,1438008.99,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0016,E004,Aurelius Canada,NA,Canada,Payroll,Active,Spreadsheet,True,None,181,0,181,0,433566.97,304101.31,567203.31,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0017,E005,Aurelius UK,EMEA,United Kingdom,Operating,Active,Spreadsheet,False,Regional pool,181,0,181,0,2748386.45,1984085.99,3556362.86,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0018,E005,Aurelius UK,EMEA,United Kingdom,Collection,Active,Portal,False,None,181,0,181,0,1409470.55,955051.84,1764378.76,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0019,E005,Aurelius UK,EMEA,United Kingdom,Payroll,Active,Host-to-host,True,None,181,0,181,0,420231.73,281402.18,550714.69,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0020,E005,Aurelius UK,EMEA,United Kingdom,Tax,Active,API,True,None,181,0,181,0,379646.7,265134.3,486470.11,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0021,E006,Aurelius Germany,EMEA,Germany,Operating,Active,Spreadsheet,False,Regional pool,181,0,181,0,5362036.58,3789730.75,7083591.82,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0022,E006,Aurelius Germany,EMEA,Germany,Collection,Active,Portal,False,None,181,0,181,0,2435230.46,1732640.76,3214631.13,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0023,E006,Aurelius Germany,EMEA,Germany,Payroll,Active,Host-to-host,True,None,181,0,181,0,698725.19,502278.07,930590.61,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0024,E006,Aurelius Germany,EMEA,Germany,Legacy,Dormant,Host-to-host,False,None,181,0,181,0,9069.33,7318.83,11427.66,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0025,E007,Aurelius France,EMEA,France,Operating,Active,Spreadsheet,False,None,181,181,0,181,-1150238.86,-1423453.21,-834626.73,True,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0026,E007,Aurelius France,EMEA,France,Collection,Active,Portal,False,None,181,0,181,0,887745.42,679612.75,1189891.45,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0027,E007,Aurelius France,EMEA,France,Payroll,Active,API,True,None,181,0,181,0,376302.98,252001.11,466692.51,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0028,E008,Aurelius Netherlands,EMEA,Netherlands,Operating,Active,Host-to-host,False,Regional pool,181,0,181,0,2636211.1,1935995.98,3487275.85,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0029,E008,Aurelius Netherlands,EMEA,Netherlands,Collection,Active,API,False,None,181,0,181,0,2781805.1,2192791.4,3435017.15,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0030,E008,Aurelius Netherlands,EMEA,Netherlands,Payroll,Active,API,True,None,181,0,181,0,600214.56,422386.55,771321.79,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0031,E009,Aurelius Spain,EMEA,Spain,Operating,Active,Portal,False,None,181,0,181,0,2157456.66,1695466.02,2759509.58,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0032,E009,Aurelius Spain,EMEA,Spain,Collection,Active,Host-to-host,False,None,181,0,181,0,1155460.35,820336.13,1512258.91,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0033,E009,Aurelius Spain,EMEA,Spain,Payroll,Active,Spreadsheet,True,None,181,0,181,0,510783.09,376758.21,672183.63,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0034,E010,Aurelius Singapore,APAC,Singapore,Operating,Active,Spreadsheet,False,None,181,181,0,181,-908622.37,-1172990.7,-583880.59,True,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0035,E010,Aurelius Singapore,APAC,Singapore,Collection,Active,Host-to-host,False,None,181,0,181,0,962003.87,651443.73,1279233.03,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0036,E010,Aurelius Singapore,APAC,Singapore,Payroll,Active,Host-to-host,True,None,181,0,181,0,228525.9,170937.53,291760.62,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0037,E010,Aurelius Singapore,APAC,Singapore,Legacy,Dormant,Host-to-host,False,None,181,0,181,0,5636.96,4514.27,6956.62,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0038,E011,Aurelius Australia,APAC,Australia,Operating,Active,Host-to-host,False,None,181,0,181,0,4642980.51,3382395.07,6325454.49,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0039,E011,Aurelius Australia,APAC,Australia,Collection,Active,Host-to-host,False,None,181,0,181,0,1952843.3,1350299.69,2574869.02,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0040,E011,Aurelius Australia,APAC,Australia,Payroll,Active,Spreadsheet,True,None,181,0,181,0,562887.67,409701.0,708913.76,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0041,E012,Aurelius Japan,APAC,Japan,Operating,Active,Host-to-host,False,None,181,0,181,0,7188.88,4924.95,9618.35,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0042,E012,Aurelius Japan,APAC,Japan,Collection,Active,Host-to-host,False,None,181,0,181,0,546141.89,399879.23,684885.99,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0043,E012,Aurelius Japan,APAC,Japan,Payroll,Active,Portal,True,None,181,0,181,0,3334.03,2310.09,4487.2,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0044,E013,Aurelius Korea,APAC,South Korea,Operating,Active,Host-to-host,False,None,181,0,181,0,1682.47,1172.3,2193.82,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0045,E013,Aurelius Korea,APAC,South Korea,Collection,Active,Spreadsheet,False,None,181,0,181,0,1090.33,763.57,1384.53,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0046,E013,Aurelius Korea,APAC,South Korea,Payroll,Active,Spreadsheet,True,None,181,0,181,0,365.31,263.69,460.94,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0047,E014,Aurelius India,APAC,India,Operating,Active,Spreadsheet,True,None,181,0,181,0,20795.5,14690.93,28041.29,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0048,E014,Aurelius India,APAC,India,Collection,Active,Spreadsheet,True,None,181,0,181,0,16698.47,12805.79,21428.51,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0049,E014,Aurelius India,APAC,India,Payroll,Active,API,True,None,181,0,181,0,472491.05,334590.64,611369.93,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0050,E015,Aurelius Hong Kong,APAC,Hong Kong,Operating,Active,Portal,False,None,181,0,181,0,328334.29,238623.85,412321.16,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0051,E015,Aurelius Hong Kong,APAC,Hong Kong,Collection,Active,Host-to-host,False,None,181,0,181,0,89113.85,65471.19,114835.04,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0052,E015,Aurelius Hong Kong,APAC,Hong Kong,Payroll,Active,API,True,None,181,0,181,0,33729.75,23935.66,44002.65,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0053,E016,Aurelius Global Sourcing,APAC,Singapore,Operating,Active,API,False,None,181,0,181,0,1151778.74,853932.9,1451663.8,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0054,E016,Aurelius Global Sourcing,APAC,Singapore,Collection,Active,Host-to-host,False,None,181,0,181,0,1233476.66,789162.6,1590982.65,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0055,E016,Aurelius Global Sourcing,APAC,Singapore,Payroll,Active,API,True,None,181,0,181,0,314917.22,221508.56,423371.19,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
